		Fahrtenschl¸ssel	04:53	05:23	05:53	06:23	06:53	07:23	07:53	08:15	08:35	08:55	09:15	09:35	09:55	10:15	10:35	10:55	11:15	11:35	11:55	12:15	12:35	12:55	13:15	13:35	13:55	14:15	14:35	14:55	15:15	15:35	15:53	16:23	16:53	17:23	17:53	18:23	18:53	19:23	20:04	20:34	21:04	21:34	22:04	22:34	23:04	23:34	24:04	24:24	24:54
22	1008	Hauptbahnhof	 05.18	 05.48	 06.18	 06.48	 07.18	 07.48	 08.18	 08.40	 09.00	 09.20	 09.40	 10.00	 10.20	 10.40	 11.00	 11.20	 11.40	 12.00	 12.20	 12.40	 13.00	 13.20	 13.40	 14.00	 14.20	 14.40	 15.00	 15.20	 15.40	 16.00	 16.18	 16.48	 17.18	 17.48	 18.18	 18.48	 19.18	 19.48	 20.27	 20.57	 21.27	 21.57	 22.27	 22.57	 23.27	 23.57	 24.27	 24.47	 25.17
23	1350	Ehinger Tor	 05.21	 05.51	 06.21	 06.51	 07.21	 07.51	 08.21	 08.43	 09.03	 09.23	 09.43	 10.03	 10.23	 10.43	 11.03	 11.23	 11.43	 12.03	 12.23	 12.43	 13.03	 13.23	 13.43	 14.03	 14.23	 14.43	 15.03	 15.23	 15.43	 16.03	 16.21	 16.51	 17.21	 17.51	 18.21	 18.51	 19.21	 19.51	 20.30	 21.00	 21.30	 22.00	 22.30	 23.00	 23.30	 24.00	 24.30	 24.50	 25.20
24	1701	Adenauerbr¸cke	 05.24	 05.54	 06.24	 06.54	 07.24	 07.54	 08.24	 08.46	 09.06	 09.26	 09.46	 10.06	 10.26	 10.46	 11.06	 11.26	 11.46	 12.06	 12.26	 12.46	 13.06	 13.26	 13.46	 14.06	 14.26	 14.46	 15.06	 15.26	 15.46	 16.06	 16.24	 16.54	 17.24	 17.54	 18.24	 18.54	 19.24	 19.54	 20.33	 21.03	 21.33	 22.03	 22.33	 23.03	 23.33	 24.03	 24.33	    -	    -
25	1705	Amtsgericht	 05.25	 05.55	 06.25	 06.55	 07.25	 07.55	 08.25	 08.47	 09.07	 09.27	 09.47	 10.07	 10.27	 10.47	 11.07	 11.27	 11.47	 12.07	 12.27	 12.47	 13.07	 13.27	 13.47	 14.07	 14.27	 14.47	 15.07	 15.27	 15.47	 16.07	 16.25	 16.55	 17.25	 17.55	 18.25	 18.55	 19.25	 19.55	 20.34	 21.04	 21.34	 22.04	 22.34	 23.04	 23.34	 24.04	 24.34	    -	    -
26	1706	Sch¸tzenstraﬂe	 05.26	 05.56	 06.26	 06.56	 07.26	 07.56	 08.26	 08.48	 09.08	 09.28	 09.48	 10.08	 10.28	 10.48	 11.08	 11.28	 11.48	 12.08	 12.28	 12.48	 13.08	 13.28	 13.48	 14.08	 14.28	 14.48	 15.08	 15.28	 15.48	 16.08	 16.26	 16.56	 17.26	 17.56	 18.26	 18.56	 19.26	 19.56	 20.35	 21.05	 21.35	 22.05	 22.35	 23.05	 23.35	 24.05	 24.35	    -	    -
27	1723	Gartenstraﬂe	 05.27	 05.57	 06.27	 06.57	 07.27	 07.57	 08.27	 08.49	 09.09	 09.29	 09.49	 10.09	 10.29	 10.49	 11.09	 11.29	 11.49	 12.09	 12.29	 12.49	 13.09	 13.29	 13.49	 14.09	 14.29	 14.49	 15.09	 15.29	 15.49	 16.09	 16.27	 16.57	 17.27	 17.57	 18.27	 18.57	 19.27	 19.57	 20.36	 21.06	 21.36	 22.06	 22.36	 23.06	 23.36	 24.06	 24.36	    -	    -
28	1700	ZUP	 05.28	 05.58	 06.28	 06.58	 07.28	 07.58	 08.28	 08.50	 09.10	 09.30	 09.50	 10.10	 10.30	 10.50	 11.10	 11.30	 11.50	 12.10	 12.30	 12.50	 13.10	 13.30	 13.50	 14.10	 14.30	 14.50	 15.10	 15.30	 15.50	 16.10	 16.28	 16.58	 17.28	 17.58	 18.28	 18.58	 19.28	 19.58	 20.37	 21.07	 21.37	 22.07	 22.37	 23.07	 23.37	 24.07	 24.37	    -	    -
29	1729	Meininger Allee	 05.29	 05.59	 06.29	 06.59	 07.29	 07.59	 08.29	 08.51	 09.11	 09.31	 09.51	 10.11	 10.31	 10.51	 11.11	 11.31	 11.51	 12.11	 12.31	 12.51	 13.11	 13.31	 13.51	 14.11	 14.31	 14.51	 15.11	 15.31	 15.51	 16.11	 16.29	 16.59	 17.29	 17.59	 18.29	 18.59	 19.29	 19.59	 20.38	 21.08	 21.38	 22.08	 22.38	 23.08	 23.38	 24.08	 24.38	    -	    -
30	1714	Kasernstraﬂe	 05.30	 06.00	 06.30	 07.00	 07.30	 08.00	 08.30	 08.52	 09.12	 09.32	 09.52	 10.12	 10.32	 10.52	 11.12	 11.32	 11.52	 12.12	 12.32	 12.52	 13.12	 13.32	 13.52	 14.12	 14.32	 14.52	 15.12	 15.32	 15.52	 16.12	 16.30	 17.00	 17.30	 18.00	 18.30	 19.00	 19.30	 20.00	 20.39	 21.09	 21.39	 22.09	 22.39	 23.09	 23.39	 24.09	 24.39	    -	    -
31	1713	Augsburger Tor	 05.32	 06.02	 06.32	 07.02	 07.32	 08.02	 08.32	 08.54	 09.14	 09.34	 09.54	 10.14	 10.34	 10.54	 11.14	 11.34	 11.54	 12.14	 12.34	 12.54	 13.14	 13.34	 13.54	 14.14	 14.34	 14.54	 15.14	 15.34	 15.54	 16.14	 16.32	 17.02	 17.32	 18.02	 18.32	 19.02	 19.32	 20.02	 20.40	 21.10	 21.40	 22.10	 22.40	 23.10	 23.40	 24.10	 24.40	    -	    -
32	1049	Congress Centrum	 05.33	 06.03	 06.33	 07.03	 07.33	 08.03	 08.33	 08.55	 09.15	 09.35	 09.55	 10.15	 10.35	 10.55	 11.15	 11.35	 11.55	 12.15	 12.35	 12.55	 13.15	 13.35	 13.55	 14.15	 14.35	 14.55	 15.15	 15.35	 15.55	 16.15	 16.33	 17.03	 17.33	 18.03	 18.33	 19.03	 19.33	 20.03	 20.41	 21.11	 21.41	 22.11	 22.41	 23.11	 23.41	 24.11	 24.41	    -	    -
33	1050	Willy-Brandt-Platz	 05.35	 06.05	 06.35	 07.05	 07.35	 08.05	 08.35	 08.57	 09.17	 09.37	 09.57	 10.17	 10.37	 10.57	 11.17	 11.37	 11.57	 12.17	 12.37	 12.57	 13.17	 13.37	 13.57	 14.17	 14.37	 14.57	 15.17	 15.37	 15.57	 16.17	 16.35	 17.05	 17.35	 18.05	 18.35	 19.05	 19.35	 20.05	 20.42	 21.12	 21.42	 22.12	 22.42	 23.12	 23.42	 24.12	 24.42	    -	    -
