		Fahrtenschl¸ssel	05:38	05:48	06:18	06:48	07:04	07:34	08:04	08:34	09:04	09:34	10:04	10:34	11:04	11:23	11:53	12:23	12:53	13:23	13:53	14:23	14:53	15:23	15:53	16:23	16:53	17:23	17:53	18:23	18:53	19:23	20:04	20:34	21:04	21:34	22:04	22:34	23:04	23:34	23:54	24:04	24:24	24:54
11	1160	Hˆrvelsinger Weg	    -	    -	    -	    -	 07.14	 07.44	 08.14	 08.44	 09.14	 09.44	 10.14	 10.44	 11.14	 11.34	 12.04	 12.34	 13.04	 13.34	 14.04	 14.34	 15.04	 15.34	 16.04	 16.34	 17.04	 17.34	 18.04	 18.34	 19.04	 19.34	 20.14	 20.44	 21.14	 21.44	 22.14	 22.44	 23.14	 23.44	 24.04	 24.14	 24.34	 25.04
12	1046	Wilhelmsburgkaserne	    -	    -	    -	    -	 07.16	 07.46	 08.16	 08.46	 09.16	 09.46	 10.16	 10.46	 11.16	 11.36	 12.06	 12.36	 13.06	 13.36	 14.06	 14.36	 15.06	 15.36	 16.06	 16.36	 17.06	 17.36	 18.06	 18.36	 19.06	 19.36	 20.16	 20.46	 21.16	 21.46	 22.16	 22.46	 23.16	 23.46	 24.06	 24.16	 24.36	 25.06
13	1044	Neuer Friedhof	    -	    -	    -	    -	 07.17	 07.47	 08.17	 08.47	 09.17	 09.47	 10.17	 10.47	 11.17	 11.36	 12.06	 12.36	 13.06	 13.36	 14.06	 14.36	 15.06	 15.36	 16.06	 16.36	 17.06	 17.36	 18.06	 18.36	 19.06	 19.36	 20.17	 20.47	 21.17	 21.47	 22.17	 22.47	 23.17	 23.47	 24.07	 24.17	 24.37	 25.07
14	1030	Kliniken Michelsberg	 05.38	 05.48	 06.18	 06.48	 07.18	 07.48	 08.18	 08.48	 09.18	 09.48	 10.18	 10.48	 11.18	 11.38	 12.08	 12.38	 13.08	 13.38	 14.08	 14.38	 15.08	 15.38	 16.08	 16.38	 17.08	 17.38	 18.08	 18.38	 19.08	 19.38	 20.18	 20.48	 21.18	 21.48	 22.18	 22.48	 23.18	 23.48	 24.08	 24.18	 24.38	 25.08
15	1031	Frauensteige	 05.39	 05.49	 06.19	 06.49	 07.19	 07.49	 08.19	 08.49	 09.19	 09.49	 10.19	 10.49	 11.19	 11.39	 12.09	 12.39	 13.09	 13.39	 14.09	 14.39	 15.09	 15.39	 16.09	 16.39	 17.09	 17.39	 18.09	 18.39	 19.09	 19.39	 20.19	 20.49	 21.19	 21.49	 22.19	 22.49	 23.19	 23.49	 24.09	 24.19	 24.39	 25.09
16	1032	Schillerhˆhe	 05.40	 05.50	 06.20	 06.50	 07.20	 07.50	 08.20	 08.50	 09.20	 09.50	 10.20	 10.50	 11.20	 11.40	 12.10	 12.40	 13.10	 13.40	 14.10	 14.40	 15.10	 15.40	 16.10	 16.40	 17.10	 17.40	 18.10	 18.40	 19.10	 19.40	 20.20	 20.50	 21.20	 21.50	 22.20	 22.50	 23.20	 23.50	 24.10	 24.20	 24.40	 25.10
17	1025	Frauenstraﬂe / DRK	 05.41	 05.51	 06.21	 06.51	 07.21	 07.51	 08.21	 08.51	 09.21	 09.51	 10.21	 10.51	 11.21	 11.41	 12.11	 12.41	 13.11	 13.41	 14.11	 14.41	 15.11	 15.41	 16.11	 16.41	 17.11	 17.41	 18.11	 18.41	 19.11	 19.41	 20.21	 20.51	 21.21	 21.51	 22.21	 22.51	 23.21	 23.51	 24.11	 24.21	 24.41	 25.11
18	1004	Pauluskirche	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $
19	1011	Justizgeb‰ude	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $
20	1020	Karlstraﬂe	 05.43	 05.53	 06.23	 06.53	 07.23	 07.53	 08.23	 08.53	 09.23	 09.53	 10.23	 10.53	 11.23	 11.43	 12.13	 12.43	 13.13	 13.43	 14.13	 14.43	 15.13	 15.43	 16.13	 16.43	 17.13	 17.43	 18.13	 18.43	 19.13	 19.43	 20.23	 20.53	 21.23	 21.53	 22.23	 22.53	 23.23	 23.53	 24.13	 24.23	 24.43	 25.13
21	1010	Theater	 05.45	 05.55	 06.25	 06.55	 07.25	 07.55	 08.25	 08.55	 09.25	 09.55	 10.25	 10.55	 11.25	 11.46	 12.16	 12.46	 13.16	 13.46	 14.16	 14.46	 15.16	 15.46	 16.16	 16.46	 17.16	 17.46	 18.16	 18.46	 19.16	 19.46	 20.25	 20.55	 21.25	 21.55	 22.25	 22.55	 23.25	 23.55	 24.15	 24.25	 24.45	 25.15
22	1008	Hauptbahnhof	 05.47	 05.57	 06.27	 06.57	 07.27	 07.57	 08.27	 08.57	 09.27	 09.57	 10.27	 10.57	 11.27	 11.48	 12.18	 12.48	 13.18	 13.48	 14.18	 14.48	 15.18	 15.48	 16.18	 16.48	 17.18	 17.48	 18.18	 18.48	 19.18	 19.48	 20.27	 20.57	 21.27	 21.57	 22.27	 22.57	 23.27	 23.57	 24.17	 24.27	 24.47	 25.17
23	1350	Ehinger Tor	 05.50	 06.00	 06.30	 07.00	 07.30	 08.00	 08.30	 09.00	 09.30	 10.00	 10.30	 11.00	 11.30	 11.51	 12.21	 12.51	 13.21	 13.51	 14.21	 14.51	 15.21	 15.51	 16.21	 16.51	 17.21	 17.51	 18.21	 18.51	 19.21	 19.51	 20.30	 21.00	 21.30	 22.00	 22.30	 23.00	 23.30	 24.00	 24.20	 24.30	 24.50	 25.20
24	1701	Adenauerbr¸cke	    -	 06.03	 06.33	 07.03	 07.33	 08.03	 08.33	 09.03	 09.33	 10.03	 10.33	 11.03	 11.33	 11.54	 12.24	 12.54	 13.24	 13.54	 14.24	 14.54	 15.24	 15.54	 16.24	 16.54	 17.24	 17.54	 18.24	 18.54	 19.24	 19.54	 20.33	 21.03	 21.33	 22.03	 22.33	 23.03	 23.33	 24.03	    -	 24.33	    -	    -
25	1705	Amtsgericht	    -	 06.04	 06.34	 07.04	 07.34	 08.04	 08.34	 09.04	 09.34	 10.04	 10.34	 11.04	 11.34	 11.55	 12.25	 12.55	 13.25	 13.55	 14.25	 14.55	 15.25	 15.55	 16.25	 16.55	 17.25	 17.55	 18.25	 18.55	 19.25	 19.55	 20.34	 21.04	 21.34	 22.04	 22.34	 23.04	 23.34	 24.04	    -	 24.34	    -	    -
26	1706	Sch¸tzenstraﬂe	    -	 06.05	 06.35	 07.05	 07.35	 08.05	 08.35	 09.05	 09.35	 10.05	 10.35	 11.05	 11.35	 11.56	 12.26	 12.56	 13.26	 13.56	 14.26	 14.56	 15.26	 15.56	 16.26	 16.56	 17.26	 17.56	 18.26	 18.56	 19.26	 19.56	 20.35	 21.05	 21.35	 22.05	 22.35	 23.05	 23.35	 24.05	    -	 24.35	    -	    -
27	1723	Gartenstraﬂe	    -	 06.06	 06.36	 07.06	 07.36	 08.06	 08.36	 09.06	 09.36	 10.06	 10.36	 11.06	 11.36	 11.57	 12.27	 12.57	 13.27	 13.57	 14.27	 14.57	 15.27	 15.57	 16.27	 16.57	 17.27	 17.57	 18.27	 18.57	 19.27	 19.57	 20.36	 21.06	 21.36	 22.06	 22.36	 23.06	 23.36	 24.06	    -	 24.36	    -	    -
28	1700	ZUP	    -	 06.07	 06.37	 07.07	 07.37	 08.07	 08.37	 09.07	 09.37	 10.07	 10.37	 11.07	 11.37	 11.58	 12.28	 12.58	 13.28	 13.58	 14.28	 14.58	 15.28	 15.58	 16.28	 16.58	 17.28	 17.58	 18.28	 18.58	 19.28	 19.58	 20.37	 21.07	 21.37	 22.07	 22.37	 23.07	 23.37	 24.07	    -	 24.37	    -	    -
29	1729	Meininger Allee	    -	 06.08	 06.38	 07.08	 07.38	 08.08	 08.38	 09.08	 09.38	 10.08	 10.38	 11.08	 11.38	 11.59	 12.29	 12.59	 13.29	 13.59	 14.29	 14.59	 15.29	 15.59	 16.29	 16.59	 17.29	 17.59	 18.29	 18.59	 19.29	 19.59	 20.38	 21.08	 21.38	 22.08	 22.38	 23.08	 23.38	 24.08	    -	 24.38	    -	    -
30	1714	Kasernstraﬂe	    -	 06.09	 06.39	 07.09	 07.39	 08.09	 08.39	 09.09	 09.39	 10.09	 10.39	 11.09	 11.39	 12.00	 12.30	 13.00	 13.30	 14.00	 14.30	 15.00	 15.30	 16.00	 16.30	 17.00	 17.30	 18.00	 18.30	 19.00	 19.30	 20.00	 20.39	 21.09	 21.39	 22.09	 22.39	 23.09	 23.39	 24.09	    -	 24.39	    -	    -
31	1713	Augsburger Tor	    -	 06.10	 06.40	 07.10	 07.40	 08.10	 08.40	 09.10	 09.40	 10.10	 10.40	 11.10	 11.40	 12.02	 12.32	 13.02	 13.32	 14.02	 14.32	 15.02	 15.32	 16.02	 16.32	 17.02	 17.32	 18.02	 18.32	 19.02	 19.32	 20.02	 20.40	 21.10	 21.40	 22.10	 22.40	 23.10	 23.40	 24.10	    -	 24.40	    -	    -
32	1049	Congress Centrum	    -	 06.11	 06.41	 07.11	 07.41	 08.11	 08.41	 09.11	 09.41	 10.11	 10.41	 11.11	 11.41	 12.03	 12.33	 13.03	 13.33	 14.03	 14.33	 15.03	 15.33	 16.03	 16.33	 17.03	 17.33	 18.03	 18.33	 19.03	 19.33	 20.03	 20.41	 21.11	 21.41	 22.11	 22.41	 23.11	 23.41	 24.11	    -	 24.41	    -	    -
33	1050	Willy-Brandt-Platz	    -	 06.12	 06.42	 07.12	 07.42	 08.12	 08.42	 09.12	 09.42	 10.12	 10.42	 11.12	 11.42	 12.05	 12.35	 13.05	 13.35	 14.05	 14.35	 15.05	 15.35	 16.05	 16.35	 17.05	 17.35	 18.05	 18.35	 19.05	 19.35	 20.05	 20.42	 21.12	 21.42	 22.12	 22.42	 23.12	 23.42	 24.12	    -	 24.42	    -	    -
