			Fahrtenschl¸ssel	05:35	06:05	06:35	06:59	07:33	07:59	08:33	08:59	09:33	09:59	10:33	10:59	11:28	11:55	12:04	12:23	12:40	12:55	13:04	13:23	13:40	13:55	14:04	14:23	14:40	14:55	15:04	15:23	15:40	15:55	16:04	16:23	16:40	16:55	17:04	17:23	17:40	17:55	18:04	18:23	18:40	18:55	19:04	19:23	19:40	19:59	20:33	20:59	21:33	21:59	22:33	22:59	23:33	23:59	24:33
9	1383	Gewerbeschulen Kˆnigstraﬂe	1	 05.36	 06.06	 06.36	 07.06	 07.36	 08.06	 08.36	 09.06	 09.36	 10.06	 10.36	 11.06	 11.32	 11.57	 12.12	 12.27	 12.42	 12.57	 13.12	 13.27	 13.42	 13.57	 14.12	 14.27	 14.42	 14.57	 15.12	 15.27	 15.42	 15.57	 16.12	 16.27	 16.42	 16.57	 17.12	 17.27	 17.42	 17.57	 18.12	 18.27	 18.42	 18.57	 19.12	 19.27	 19.42	 20.06	 20.36	 21.06	 21.36	 22.06	 22.36	 23.06	 23.36	 24.06	 24.36
10	1382	Egginger Weg	1	 05.36	 06.06	 06.36	 07.06	 07.36	 08.06	 08.36	 09.06	 09.36	 10.06	 10.36	 11.06	 11.32	 11.57	 12.12	 12.27	 12.42	 12.57	 13.12	 13.27	 13.42	 13.57	 14.12	 14.27	 14.42	 14.57	 15.12	 15.27	 15.42	 15.57	 16.12	 16.27	 16.42	 16.57	 17.12	 17.27	 17.42	 17.57	 18.12	 18.27	 18.42	 18.57	 19.12	 19.27	 19.42	 20.06	 20.36	 21.06	 21.36	 22.06	 22.36	 23.06	 23.36	 24.06	 24.36
11	1381	Robert-Dick-Weg	1	 05.37	 06.07	 06.37	 07.07	 07.37	 08.07	 08.37	 09.07	 09.37	 10.07	 10.37	 11.07	 11.33	 11.58	 12.13	 12.28	 12.43	 12.58	 13.13	 13.28	 13.43	 13.58	 14.13	 14.28	 14.43	 14.58	 15.13	 15.28	 15.43	 15.58	 16.13	 16.28	 16.43	 16.58	 17.13	 17.28	 17.43	 17.58	 18.13	 18.28	 18.43	 18.58	 19.13	 19.28	 19.43	 20.07	 20.37	 21.07	 21.37	 22.07	 22.37	 23.07	 23.37	 24.07	 24.37
12	1380	Saarlandstraﬂe	1	 05.38	 06.08	 06.38	 07.08	 07.38	 08.08	 08.38	 09.08	 09.38	 10.08	 10.38	 11.08	 11.34	 11.59	 12.14	 12.29	 12.44	 12.59	 13.14	 13.29	 13.44	 13.59	 14.14	 14.29	 14.44	 14.59	 15.14	 15.29	 15.44	 15.59	 16.14	 16.29	 16.44	 16.59	 17.14	 17.29	 17.44	 17.59	 18.14	 18.29	 18.44	 18.59	 19.14	 19.29	 19.44	 20.08	 20.38	 21.08	 21.38	 22.08	 22.38	 23.08	 23.38	 24.08	 24.38
13	1360	Rˆmerplatz	1	 05.39	 06.09	 06.39	 07.09	 07.39	 08.09	 08.39	 09.09	 09.39	 10.09	 10.39	 11.09	 11.35	 12.00	 12.15	 12.30	 12.45	 13.00	 13.15	 13.30	 13.45	 14.00	 14.15	 14.30	 14.45	 15.00	 15.15	 15.30	 15.45	 16.00	 16.15	 16.30	 16.45	 17.00	 17.15	 17.30	 17.45	 18.00	 18.15	 18.30	 18.45	 19.00	 19.15	 19.30	 19.45	 20.09	 20.39	 21.09	 21.39	 22.09	 22.39	 23.09	 23.39	 24.09	 24.39
14	1359	Haﬂlerstraﬂe	1	 05.40	 06.10	 06.40	 07.10	 07.40	 08.10	 08.40	 09.10	 09.40	 10.10	 10.40	 11.10	 11.36	 12.01	 12.16	 12.31	 12.46	 13.01	 13.16	 13.31	 13.46	 14.01	 14.16	 14.31	 14.46	 15.01	 15.16	 15.31	 15.46	 16.01	 16.16	 16.31	 16.46	 17.01	 17.16	 17.31	 17.46	 18.01	 18.16	 18.31	 18.46	 19.01	 19.16	 19.31	 19.46	 20.10	 20.40	 21.10	 21.40	 22.10	 22.40	 23.10	 23.40	 24.10	 24.40
15	1350	Ehinger Tor	3	 05.42	 06.12	 06.42	 07.12	 07.42	 08.12	 08.42	 09.12	 09.42	 10.12	 10.42	 11.12	 11.40	 12.05	 12.20	 12.35	 12.50	 13.05	 13.20	 13.35	 13.50	 14.05	 14.20	 14.35	 14.50	 15.05	 15.20	 15.35	 15.50	 16.05	 16.20	 16.35	 16.50	 17.05	 17.20	 17.35	 17.50	 18.05	 18.20	 18.35	 18.50	 19.05	 19.20	 19.35	 19.50	 20.12	 20.42	 21.12	 21.42	 22.12	 22.42	 23.12	 23.42	 24.12	 24.42
16	1001	Steinerne Br¸cke	1	 05.45	 06.15	 06.45	 07.15	 07.45	 08.15	 08.45	 09.15	 09.45	 10.15	 10.45	 11.15	 11.43	 12.08	 12.23	 12.38	 12.53	 13.08	 13.23	 13.38	 13.53	 14.08	 14.23	 14.38	 14.53	 15.08	 15.23	 15.38	 15.53	 16.08	 16.23	 16.38	 16.53	 17.08	 17.23	 17.38	 17.53	 18.08	 18.23	 18.38	 18.53	 19.08	 19.23	 19.38	 19.53	 20.15	 20.45	 21.15	 21.45	 22.15	 22.45	 23.15	 23.45	 24.15	 24.45
17	1002	Rathaus Ulm	1	 05.47	 06.17	 06.47	 07.17	 07.47	 08.17	 08.47	 09.17	 09.47	 10.17	 10.47	 11.17	 11.44	 12.09	 12.24	 12.39	 12.54	 13.09	 13.24	 13.39	 13.54	 14.09	 14.24	 14.39	 14.54	 15.09	 15.24	 15.39	 15.54	 16.09	 16.24	 16.39	 16.54	 17.09	 17.24	 17.39	 17.54	 18.09	 18.24	 18.39	 18.54	 19.09	 19.24	 19.39	 19.54	 20.17	 20.47	 21.17	 21.47	 22.17	 22.47	 23.17	 23.47	 24.17	 24.47
18	1009	Hafengasse	1	 05.49	 06.19	 06.49	 07.19	 07.49	 08.19	 08.49	 09.19	 09.49	 10.19	 10.49	 11.19	 11.46	 12.11	 12.26	 12.41	 12.56	 13.11	 13.26	 13.41	 13.56	 14.11	 14.26	 14.41	 14.56	 15.11	 15.26	 15.41	 15.56	 16.11	 16.26	 16.41	 16.56	 17.11	 17.26	 17.41	 17.56	 18.11	 18.26	 18.41	 18.56	 19.11	 19.26	 19.41	 19.56	 20.19	 20.49	 21.19	 21.49	 22.19	 22.49	 23.19	 23.49	 24.19	 24.49
19	1003	Rosengasse	1	 05.49	 06.19	 06.49	 07.19	 07.49	 08.19	 08.49	 09.19	 09.49	 10.19	 10.49	 11.19	 11.47	 12.12	 12.27	 12.42	 12.57	 13.12	 13.27	 13.42	 13.57	 14.12	 14.27	 14.42	 14.57	 15.12	 15.27	 15.42	 15.57	 16.12	 16.27	 16.42	 16.57	 17.12	 17.27	 17.42	 17.57	 18.12	 18.27	 18.42	 18.57	 19.12	 19.27	 19.42	 19.57	 20.19	 20.49	 21.19	 21.49	 22.19	 22.49	 23.19	 23.49	 24.19	 24.49
20	1050	Willy-Brandt-Platz	1	 05.51	 06.21	 06.51	 07.21	 07.51	 08.21	 08.51	 09.21	 09.51	 10.21	 10.51	 11.21	 11.49	 12.14	 12.29	 12.44	 12.59	 13.14	 13.29	 13.44	 13.59	 14.14	 14.29	 14.44	 14.59	 15.14	 15.29	 15.44	 15.59	 16.14	 16.29	 16.44	 16.59	 17.14	 17.29	 17.44	 17.59	 18.14	 18.29	 18.44	 18.59	 19.14	 19.29	 19.44	 19.59	 20.21	 20.51	 21.21	 21.51	 22.21	 22.51	 23.21	 23.51	 24.21	 24.51
21	1058	Ostplatz	1	 05.53	 06.23	 06.53	 07.23	 07.53	 08.23	 08.53	 09.23	 09.53	 10.23	 10.53	 11.23	 11.51	 12.16	 12.31	 12.46	 13.01	 13.16	 13.31	 13.46	 14.01	 14.16	 14.31	 14.46	 15.01	 15.16	 15.31	 15.46	 16.01	 16.16	 16.31	 16.46	 17.01	 17.16	 17.31	 17.46	 18.01	 18.16	 18.31	 18.46	 19.01	 19.16	 19.31	 19.46	 20.01	 20.23	 20.53	 21.23	 21.53	 22.23	 22.53	 23.23	 23.53	 24.23	 24.53
22	1048	÷rlinger Straﬂe	1	 05.54	 06.24	 06.54	 07.24	 07.54	 08.24	 08.54	 09.24	 09.54	 10.24	 10.54	 11.24	 11.52	 12.17	 12.32	 12.47	 13.02	 13.17	 13.32	 13.47	 14.02	 14.17	 14.32	 14.47	 15.02	 15.17	 15.32	 15.47	 16.02	 16.17	 16.32	 16.47	 17.02	 17.17	 17.32	 17.47	 18.02	 18.17	 18.32	 18.47	 19.02	 19.17	 19.32	 19.47	 20.02	 20.24	 20.54	 21.24	 21.54	 22.24	 22.54	 23.24	 23.54	 24.24	 24.54
23	1059	Steinhˆvelstraﬂe	1	 05.55	 06.25	 06.55	 07.25	 07.55	 08.25	 08.55	 09.25	 09.55	 10.25	 10.55	 11.25	 11.53	 12.18	 12.33	 12.48	 13.03	 13.18	 13.33	 13.48	 14.03	 14.18	 14.33	 14.48	 15.03	 15.18	 15.33	 15.48	 16.03	 16.18	 16.33	 16.48	 17.03	 17.18	 17.33	 17.48	 18.03	 18.18	 18.33	 18.48	 19.03	 19.18	 19.33	 19.48	 20.03	 20.25	 20.55	 21.25	 21.55	 22.25	 22.55	 23.25	 23.55	 24.25	 24.55
24	1060	Safranberg	1	 05.56	 06.26	 06.56	 07.26	 07.56	 08.26	 08.56	 09.26	 09.56	 10.26	 10.56	 11.26	 11.54	 12.19	 12.34	 12.49	 13.04	 13.19	 13.34	 13.49	 14.04	 14.19	 14.34	 14.49	 15.04	 15.19	 15.34	 15.49	 16.04	 16.19	 16.34	 16.49	 17.04	 17.19	 17.34	 17.49	 18.04	 18.19	 18.34	 18.49	 19.04	 19.19	 19.34	 19.49	 20.04	 20.26	 20.56	 21.26	 21.56	 22.26	 22.56	 23.26	 23.56	 24.26	 24.56
25	1061	Albecker Steige	1	 05.57	 06.27	 06.57	 07.27	 07.57	 08.27	 08.57	 09.27	 09.57	 10.27	 10.57	 11.27	 11.55	 12.20	 12.35	 12.50	 13.05	 13.20	 13.35	 13.50	 14.05	 14.20	 14.35	 14.50	 15.05	 15.20	 15.35	 15.50	 16.05	 16.20	 16.35	 16.50	 17.05	 17.20	 17.35	 17.50	 18.05	 18.20	 18.35	 18.50	 19.05	 19.20	 19.35	 19.50	 20.05	 20.27	 20.57	 21.27	 21.57	 22.27	 22.57	 23.27	 23.57	 24.27	 24.57
26	1079	Eichenplatz	1	 05.58	 06.28	 06.58	 07.28	 07.58	 08.28	 08.58	 09.28	 09.58	 10.28	 10.58	 11.28	 11.56	 12.21	 12.36	 12.51	 13.06	 13.21	 13.36	 13.51	 14.06	 14.21	 14.36	 14.51	 15.06	 15.21	 15.36	 15.51	 16.06	 16.21	 16.36	 16.51	 17.06	 17.21	 17.36	 17.51	 18.06	 18.21	 18.36	 18.51	 19.06	 19.21	 19.36	 19.51	 20.06	 20.28	 20.58	 21.28	 21.58	 22.28	 22.58	 23.28	 23.58	 24.28	 24.58
27	1081	Eichberg	1	 05.59	 06.29	 06.59	 07.29	 07.59	 08.29	 08.59	 09.29	 09.59	 10.29	 10.59	 11.29	 11.57	    $	 12.37	    $	 13.07	    $	 13.37	    $	 14.07	    $	 14.37	    $	 15.07	    $	 15.37	    $	 16.07	    $	 16.37	    $	 17.07	    $	 17.37	    $	 18.07	    $	 18.37	    $	 19.07	    $	 19.37	    $	 20.07	 20.29	 20.59	 21.29	 21.59	 22.29	 22.59	 23.29	 23.59	 24.29	 24.59
28	1082	Eichberg Nord	1	 06.00	 06.30	 07.00	 07.30	 08.00	 08.30	 09.00	 09.30	 10.00	 10.30	 11.00	 11.30	 11.58	    $	 12.38	    $	 13.08	    $	 13.38	    $	 14.08	    $	 14.38	    $	 15.08	    $	 15.38	    $	 16.08	    $	 16.38	    $	 17.08	    $	 17.38	    $	 18.08	    $	 18.38	    $	 19.08	    $	 19.38	    $	 20.08	 20.30	 21.00	 21.30	 22.00	 22.30	 23.00	 23.30	 24.00	 24.30	 25.00
29	1078	Ludwig-Beck-Straﬂe	1	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	 12.22	    $	 12.52	    $	 13.22	    $	 13.52	    $	 14.22	    $	 14.52	    $	 15.22	    $	 15.52	    $	 16.22	    $	 16.52	    $	 17.22	    $	 17.52	    $	 18.22	    $	 18.52	    $	 19.22	    $	 19.52	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $	    $
30	1087	Egertweg	1	 06.01	 06.31	 07.01	 07.31	 08.01	 08.31	 09.01	 09.31	 10.01	 10.31	 11.01	 11.31	 11.59	 12.24	 12.39	 12.54	 13.09	 13.24	 13.39	 13.54	 14.09	 14.24	 14.39	 14.54	 15.09	 15.24	 15.39	 15.54	 16.09	 16.24	 16.39	 16.54	 17.09	 17.24	 17.39	 17.54	 18.09	 18.24	 18.39	 18.54	 19.09	 19.24	 19.39	 19.54	 20.09	 20.31	 21.01	 21.31	 22.01	 22.31	 23.01	 23.31	 24.01	 24.31	 25.01
