		Fahrtenschl¸ssel	05:27	05:42	05:57	06:13	06:43	07:13	07:43	08:13	08:43	09:13	09:43	10:13	10:43	11:13	11:31	12:01	12:31	13:01	13:31	14:01	14:31	15:01	15:31	16:01	16:31	17:01	17:31	18:01	18:31	19:01	19:36	20:13	20:43	21:13	21:43	22:13	22:43	23:13	23:43	24:13
10	1701	Adenauerbr¸cke	    -	    -	    -	 06.24	 06.54	 07.24	 07.54	 08.24	 08.54	 09.24	 09.54	 10.24	 10.54	 11.24	 11.43	 12.13	 12.43	 13.13	 13.43	 14.13	 14.43	 15.13	 15.43	 16.13	 16.43	 17.13	 17.43	 18.13	 18.43	 19.13	 19.48	 20.24	 20.54	 21.24	 21.54	 22.24	 22.54	 23.24	 23.54	 24.24
11	1350	Ehinger Tor	 05.27	 05.42	 05.57	 06.27	 06.57	 07.27	 07.57	 08.27	 08.57	 09.27	 09.57	 10.27	 10.57	 11.27	 11.46	 12.16	 12.46	 13.16	 13.46	 14.16	 14.46	 15.16	 15.46	 16.16	 16.46	 17.16	 17.46	 18.16	 18.46	 19.16	 19.51	 20.27	 20.57	 21.27	 21.57	 22.27	 22.57	 23.27	 23.57	 24.27
12	1008	Hauptbahnhof	 05.30	 05.45	 06.00	 06.30	 07.00	 07.30	 08.00	 08.30	 09.00	 09.30	 10.00	 10.30	 11.00	 11.30	 11.49	 12.19	 12.49	 13.19	 13.49	 14.19	 14.49	 15.19	 15.49	 16.19	 16.49	 17.19	 17.49	 18.19	 18.49	 19.19	 19.54	 20.30	 21.00	 21.30	 22.00	 22.30	 23.00	 23.30	 24.00	 24.30
13	1010	Theater	 05.32	 05.47	 06.02	 06.32	 07.02	 07.32	 08.02	 08.32	 09.02	 09.32	 10.02	 10.32	 11.02	 11.32	 11.51	 12.21	 12.51	 13.21	 13.51	 14.21	 14.51	 15.21	 15.51	 16.21	 16.51	 17.21	 17.51	 18.21	 18.51	 19.21	 19.56	 20.32	 21.02	 21.32	 22.02	 22.32	 23.02	 23.32	 24.02	 24.32
14	1020	Karlstraﬂe	 05.33	 05.48	 06.03	 06.33	 07.03	 07.33	 08.03	 08.33	 09.03	 09.33	 10.03	 10.33	 11.03	 11.33	 11.52	 12.22	 12.52	 13.22	 13.52	 14.22	 14.52	 15.22	 15.52	 16.22	 16.52	 17.22	 17.52	 18.22	 18.52	 19.22	 19.57	 20.33	 21.03	 21.33	 22.03	 22.33	 23.03	 23.33	 24.03	 24.33
15	1025	Frauenstraﬂe / DRK	 05.35	 05.50	 06.05	 06.35	 07.05	 07.35	 08.05	 08.35	 09.05	 09.35	 10.05	 10.35	 11.05	 11.35	 11.54	 12.24	 12.54	 13.24	 13.54	 14.24	 14.54	 15.24	 15.54	 16.24	 16.54	 17.24	 17.54	 18.24	 18.54	 19.24	 19.59	 20.35	 21.05	 21.35	 22.05	 22.35	 23.05	 23.35	 24.05	 24.35
16	1032	Schillerhˆhe	 05.36	 05.51	 06.06	 06.36	 07.06	 07.36	 08.06	 08.36	 09.06	 09.36	 10.06	 10.36	 11.06	 11.36	 11.56	 12.26	 12.56	 13.26	 13.56	 14.26	 14.56	 15.26	 15.56	 16.26	 16.56	 17.26	 17.56	 18.26	 18.56	 19.26	 20.01	 20.36	 21.06	 21.36	 22.06	 22.36	 23.06	 23.36	 24.06	 24.36
17	1030	Kliniken Michelsberg	 05.37	 05.52	 06.07	 06.37	 07.07	 07.37	 08.07	 08.37	 09.07	 09.37	 10.07	 10.37	 11.07	 11.37	 11.57	 12.27	 12.57	 13.27	 13.57	 14.27	 14.57	 15.27	 15.57	 16.27	 16.57	 17.27	 17.57	 18.27	 18.57	 19.27	 20.02	 20.37	 21.07	 21.37	 22.07	 22.37	 23.07	 23.37	 24.07	 24.37
18	1044	Neuer Friedhof	    -	    -	    -	 06.38	 07.08	 07.38	 08.08	 08.38	 09.08	 09.38	 10.08	 10.38	 11.08	 11.38	 11.59	 12.29	 12.59	 13.29	 13.59	 14.29	 14.59	 15.29	 15.59	 16.29	 16.59	 17.29	 17.59	 18.29	 18.59	 19.29	 20.04	 20.38	 21.08	 21.38	 22.08	 22.38	 23.08	 23.38	 24.08	 24.38
19	1160	Hˆrvelsinger Weg	    -	    -	    -	 06.40	 07.10	 07.40	 08.10	 08.40	 09.10	 09.40	 10.10	 10.40	 11.10	 11.40	 12.01	 12.31	 13.01	 13.31	 14.01	 14.31	 15.01	 15.31	 16.01	 16.31	 17.01	 17.31	 18.01	 18.31	 19.01	 19.31	 20.06	 20.40	 21.10	 21.40	 22.10	 22.40	 23.10	 23.40	 24.10	 24.40
20	1161	Franzenhauserweg	    -	    -	    -	 06.41	 07.11	 07.41	 08.11	 08.41	 09.11	 09.41	 10.11	 10.41	 11.11	 11.41	 12.02	 12.32	 13.02	 13.32	 14.02	 14.32	 15.02	 15.32	 16.02	 16.32	 17.02	 17.32	 18.02	 18.32	 19.02	 19.32	 20.07	 20.41	 21.11	 21.41	 22.11	 22.41	 23.11	 23.41	 24.11	 24.41
21	1162	Albstraﬂe	    -	    -	    -	 06.42	 07.12	 07.42	 08.12	 08.42	 09.12	 09.42	 10.12	 10.42	 11.12	 11.42	 12.03	 12.33	 13.03	 13.33	 14.03	 14.33	 15.03	 15.33	 16.03	 16.33	 17.03	 17.33	 18.03	 18.33	 19.03	 19.33	 20.08	 20.42	 21.12	 21.42	 22.12	 22.42	 23.12	 23.42	 24.12	 24.42
22	1173	Auf dem Hart	    -	    -	    -	 06.43	 07.13	 07.43	 08.13	 08.43	 09.13	 09.43	 10.13	 10.43	 11.13	 11.43	 12.04	 12.34	 13.04	 13.34	 14.04	 14.34	 15.04	 15.34	 16.04	 16.34	 17.04	 17.34	 18.04	 18.34	 19.04	 19.34	 20.09	 20.43	 21.13	 21.43	 22.13	 22.43	 23.13	 23.43	 24.13	 24.43
23	1170	Edith-Stein-Ring	    -	    -	    -	 06.44	 07.14	 07.44	 08.14	 08.44	 09.14	 09.44	 10.14	 10.44	 11.14	 11.44	 12.05	 12.35	 13.05	 13.35	 14.05	 14.35	 15.05	 15.35	 16.05	 16.35	 17.05	 17.35	 18.05	 18.35	 19.05	 19.35	 20.10	 20.44	 21.14	 21.44	 22.14	 22.44	 23.14	 23.44	 24.14	 24.44
24	1171	Margarete-Steiff-Straﬂe	    -	    -	    -	 06.45	 07.15	 07.45	 08.15	 08.45	 09.15	 09.45	 10.15	 10.45	 11.15	 11.45	 12.06	 12.36	 13.06	 13.36	 14.06	 14.36	 15.06	 15.36	 16.06	 16.36	 17.06	 17.36	 18.06	 18.36	 19.06	 19.36	 20.11	 20.45	 21.15	 21.45	 22.15	 22.45	 23.15	 23.45	 24.15	 24.45
25	1166	Gehrnstraﬂe	    -	    -	    -	 06.46	 07.16	 07.46	 08.16	 08.46	 09.16	 09.46	 10.16	 10.46	 11.16	 11.46	 12.07	 12.37	 13.07	 13.37	 14.07	 14.37	 15.07	 15.37	 16.07	 16.37	 17.07	 17.37	 18.07	 18.37	 19.07	 19.37	 20.12	 20.46	 21.16	 21.46	 22.16	 22.46	 23.16	 23.46	 24.16	 24.46
26	1165	Fichtenstraﬂe	    -	    -	    -	 06.47	 07.17	 07.47	 08.17	 08.47	 09.17	 09.47	 10.17	 10.47	 11.17	 11.47	 12.08	 12.38	 13.08	 13.38	 14.08	 14.38	 15.08	 15.38	 16.08	 16.38	 17.08	 17.38	 18.08	 18.38	 19.08	 19.38	 20.13	 20.47	 21.17	 21.47	 22.17	 22.47	 23.17	 23.47	 24.17	 24.47
27	1164	Schwarzenbergstraﬂe	    -	    -	    -	 06.48	 07.18	 07.48	 08.18	 08.48	 09.18	 09.48	 10.18	 10.48	 11.18	 11.48	 12.09	 12.39	 13.09	 13.39	 14.09	 14.39	 15.09	 15.39	 16.09	 16.39	 17.09	 17.39	 18.09	 18.39	 19.09	 19.39	 20.14	 20.48	 21.18	 21.48	 22.18	 22.48	 23.18	 23.48	 24.18	 24.48
28	1167	Donau-Iller-Werkst.	    -	    -	    -	 06.49	 07.19	 07.49	 08.19	 08.49	 09.19	 09.49	 10.19	 10.49	 11.19	 11.49	 12.10	 12.40	 13.10	 13.40	 14.10	 14.40	 15.10	 15.40	 16.10	 16.40	 17.10	 17.40	 18.10	 18.40	 19.10	 19.40	 20.15	 20.49	 21.19	 21.49	 22.19	 22.49	 23.19	 23.49	 24.19	 24.49
29	1163	Rathaus Jungingen	    -	    -	    -	 06.50	 07.20	 07.50	 08.20	 08.50	 09.20	 09.50	 10.20	 10.50	 11.20	 11.50	 12.11	 12.41	 13.11	 13.41	 14.11	 14.41	 15.11	 15.41	 16.11	 16.41	 17.11	 17.41	 18.11	 18.41	 19.11	 19.41	 20.16	 20.50	 21.20	 21.50	 22.20	 22.50	 23.20	 23.50	 24.20	 24.50
