			Fahrtenschlüssel	06:04	06:32	07:02	07:32	08:02	08:32	09:02	09:32	10:02	10:32	11:02	11:32	12:02	12:32	13:02	13:32	14:02	14:32	15:02	15:32	16:02	16:32	17:02	17:32	18:02	18:32	19:02
11	1301	Ottiliengasse	2	 06.15	 06.45	 07.15	 07.45	 08.15	 08.45	 09.15	 09.45	 10.15	 10.45	 11.15	 11.45	 12.15	 12.45	 13.15	 13.45	 14.15	 14.45	 15.15	 15.45	 16.15	 16.45	 17.15	 17.45	 18.15	 18.45	 19.15
12	1300	Söflingen	3	 06.16	 06.46	 07.16	 07.46	 08.16	 08.46	 09.16	 09.46	 10.16	 10.46	 11.16	 11.46	 12.16	 12.46	 13.16	 13.46	 14.16	 14.46	 15.16	 15.46	 16.16	 16.46	 17.16	 17.46	 18.16	 18.46	 19.16
13	1300	Söflingen	3	 06.18	 06.48	 07.18	 07.48	 08.18	 08.48	 09.18	 09.48	 10.18	 10.48	 11.18	 11.48	 12.18	 12.48	 13.18	 13.48	 14.18	 14.48	 15.18	 15.48	 16.18	 16.48	 17.18	 17.48	 18.18	 18.48	 19.18
14	1310	Sonnenstraße	1	 06.19	 06.49	 07.19	 07.49	 08.19	 08.49	 09.19	 09.49	 10.19	 10.49	 11.19	 11.49	 12.19	 12.49	 13.19	 13.49	 14.19	 14.49	 15.19	 15.49	 16.19	 16.49	 17.19	 17.49	 18.19	 18.49	 19.19
15	1311	Königstraße	1	 06.20	 06.50	 07.20	 07.50	 08.20	 08.50	 09.20	 09.50	 10.20	 10.50	 11.20	 11.50	 12.20	 12.50	 13.20	 13.50	 14.20	 14.50	 15.20	 15.50	 16.20	 16.50	 17.20	 17.50	 18.20	 18.50	 19.20
16	1299	Sedanstraße	2	 06.21	 06.51	 07.21	 07.51	 08.21	 08.51	 09.21	 09.51	 10.21	 10.51	 11.21	 11.51	 12.21	 12.51	 13.21	 13.51	 14.21	 14.51	 15.21	 15.51	 16.21	 16.51	 17.21	 17.51	 18.21	 18.51	 19.21
17	1297	Sulzbachweg	2	 06.22	 06.52	 07.22	 07.52	 08.22	 08.52	 09.22	 09.52	 10.22	 10.52	 11.22	 11.52	 12.22	 12.52	 13.22	 13.52	 14.22	 14.52	 15.22	 15.52	 16.22	 16.52	 17.22	 17.52	 18.22	 18.52	 19.22
18	1296	Neunkirchenweg	2	 06.23	 06.53	 07.23	 07.53	 08.23	 08.53	 09.23	 09.53	 10.23	 10.53	 11.23	 11.53	 12.23	 12.53	 13.23	 13.53	 14.23	 14.53	 15.23	 15.53	 16.23	 16.53	 17.23	 17.53	 18.23	 18.53	 19.23
19	1383	Gewerbeschulen Königstraße	2	 06.24	 06.54	 07.24	 07.54	 08.24	 08.54	 09.24	 09.54	 10.24	 10.54	 11.24	 11.54	 12.24	 12.54	 13.24	 13.54	 14.24	 14.54	 15.24	 15.54	 16.24	 16.54	 17.24	 17.54	 18.24	 18.54	 19.24
20	1390	Kuhberg Schulzentrum	2	 06.25	 06.55	 07.25	 07.55	 08.25	 08.55	 09.25	 09.55	 10.25	 10.55	 11.25	 11.55	 12.25	 12.55	 13.25	 13.55	 14.25	 14.55	 15.25	 15.55	 16.25	 16.55	 17.25	 17.55	 18.25	 18.55	 19.25
