			Fahrtenschlüssel	05:32	05:57	06:27	06:57	07:27	07:57	08:27	08:57	09:27	09:57	10:27	10:57	11:22	11:37	11:52	12:07	12:22	12:37	12:52	13:07	13:22	13:37	13:52	14:07	14:22	14:37	14:52	15:07	15:22	15:37	15:52	16:07	16:22	16:37	16:52	17:07	17:22	17:37	17:52	18:07	18:22	18:37	18:52	19:07	19:22	19:37	19:57	20:27	20:57	21:27	21:57	22:27	22:57	23:27	23:57	24:12	24:27	24:42	25:12
8	1058	Ostplatz	2	 05.41	 06.06	 06.36	 07.06	 07.36	 08.06	 08.36	 09.06	 09.36	 10.06	 10.36	 11.06	 11.31	 11.46	 12.01	 12.16	 12.31	 12.46	 13.01	 13.16	 13.31	 13.46	 14.01	 14.16	 14.31	 14.46	 15.01	 15.16	 15.31	 15.46	 16.01	 16.16	 16.31	 16.46	 17.01	 17.16	 17.31	 17.46	 18.01	 18.16	 18.31	 18.46	 19.01	 19.16	 19.31	 19.46	 20.06	 20.36	 21.06	 21.36	 22.06	 22.36	 23.06	 23.36	 24.06	 24.21	 24.36	 24.51	 25.21
9	1050	Willy-Brandt-Platz	2	 05.42	 06.07	 06.37	 07.07	 07.37	 08.07	 08.37	 09.07	 09.37	 10.07	 10.37	 11.07	 11.32	 11.47	 12.02	 12.17	 12.32	 12.47	 13.02	 13.17	 13.32	 13.47	 14.02	 14.17	 14.32	 14.47	 15.02	 15.17	 15.32	 15.47	 16.02	 16.17	 16.32	 16.47	 17.02	 17.17	 17.32	 17.47	 18.02	 18.17	 18.32	 18.47	 19.02	 19.17	 19.32	 19.47	 20.07	 20.37	 21.07	 21.37	 22.07	 22.37	 23.07	 23.37	 24.07	 24.22	 24.37	 24.52	 25.22
10	1003	Rosengasse	2	 05.44	 06.09	 06.39	 07.09	 07.39	 08.09	 08.39	 09.09	 09.39	 10.09	 10.39	 11.09	 11.34	 11.49	 12.04	 12.19	 12.34	 12.49	 13.04	 13.19	 13.34	 13.49	 14.04	 14.19	 14.34	 14.49	 15.04	 15.19	 15.34	 15.49	 16.04	 16.19	 16.34	 16.49	 17.04	 17.19	 17.34	 17.49	 18.04	 18.19	 18.34	 18.49	 19.04	 19.19	 19.34	 19.49	 20.09	 20.39	 21.09	 21.39	 22.09	 22.39	 23.09	 23.39	 24.09	 24.24	 24.39	 24.54	 25.24
11	1009	Hafengasse	2	 05.45	 06.10	 06.40	 07.10	 07.40	 08.10	 08.40	 09.10	 09.40	 10.10	 10.40	 11.10	 11.35	 11.50	 12.05	 12.20	 12.35	 12.50	 13.05	 13.20	 13.35	 13.50	 14.05	 14.20	 14.35	 14.50	 15.05	 15.20	 15.35	 15.50	 16.05	 16.20	 16.35	 16.50	 17.05	 17.20	 17.35	 17.50	 18.05	 18.20	 18.35	 18.50	 19.05	 19.20	 19.35	 19.50	 20.10	 20.40	 21.10	 21.40	 22.10	 22.40	 23.10	 23.40	 24.10	 24.25	 24.40	 24.55	 25.25
12	1002	Rathaus Ulm	2	 05.46	 06.11	 06.41	 07.11	 07.41	 08.11	 08.41	 09.11	 09.41	 10.11	 10.41	 11.11	 11.36	 11.51	 12.06	 12.21	 12.36	 12.51	 13.06	 13.21	 13.36	 13.51	 14.06	 14.21	 14.36	 14.51	 15.06	 15.21	 15.36	 15.51	 16.06	 16.21	 16.36	 16.51	 17.06	 17.21	 17.36	 17.51	 18.06	 18.21	 18.36	 18.51	 19.06	 19.21	 19.36	 19.51	 20.11	 20.41	 21.11	 21.41	 22.11	 22.41	 23.11	 23.41	 24.11	 24.26	 24.41	 24.56	 25.26
13	1001	Steinerne Brücke	2	 05.47	 06.12	 06.42	 07.12	 07.42	 08.12	 08.42	 09.12	 09.42	 10.12	 10.42	 11.12	 11.37	 11.52	 12.07	 12.22	 12.37	 12.52	 13.07	 13.22	 13.37	 13.52	 14.07	 14.22	 14.37	 14.52	 15.07	 15.22	 15.37	 15.52	 16.07	 16.22	 16.37	 16.52	 17.07	 17.22	 17.37	 17.52	 18.07	 18.22	 18.37	 18.52	 19.07	 19.22	 19.37	 19.52	 20.12	 20.42	 21.12	 21.42	 22.12	 22.42	 23.12	 23.42	 24.12	 24.27	 24.42	 24.57	 25.27
14	1350	Ehinger Tor	4	 05.50	 06.15	 06.45	 07.15	 07.45	 08.15	 08.45	 09.15	 09.45	 10.15	 10.45	 11.15	 11.40	 11.55	 12.10	 12.25	 12.40	 12.55	 13.10	 13.25	 13.40	 13.55	 14.10	 14.25	 14.40	 14.55	 15.10	 15.25	 15.40	 15.55	 16.10	 16.25	 16.40	 16.55	 17.10	 17.25	 17.40	 17.55	 18.10	 18.25	 18.40	 18.55	 19.10	 19.25	 19.40	 19.55	 20.15	 20.45	 21.15	 21.45	 22.15	 22.45	 23.15	 23.45	 24.15	 24.30	 24.45	 25.00	 25.30
15	1359	Haßlerstraße	2	 05.52	 06.17	 06.47	 07.17	 07.47	 08.17	 08.47	 09.17	 09.47	 10.17	 10.47	 11.17	 11.42	 11.57	 12.12	 12.27	 12.42	 12.57	 13.12	 13.27	 13.42	 13.57	 14.12	 14.27	 14.42	 14.57	 15.12	 15.27	 15.42	 15.57	 16.12	 16.27	 16.42	 16.57	 17.12	 17.27	 17.42	 17.57	 18.12	 18.27	 18.42	 18.57	 19.12	 19.27	 19.42	 19.57	 20.17	 20.47	 21.17	 21.47	 22.17	 22.47	 23.17	 23.47	 24.17	    -	 24.47	    -	    -
16	1360	Römerplatz	2	 05.53	 06.18	 06.48	 07.18	 07.48	 08.18	 08.48	 09.18	 09.48	 10.18	 10.48	 11.18	 11.44	 11.59	 12.14	 12.29	 12.44	 12.59	 13.14	 13.29	 13.44	 13.59	 14.14	 14.29	 14.44	 14.59	 15.14	 15.29	 15.44	 15.59	 16.14	 16.29	 16.44	 16.59	 17.14	 17.29	 17.44	 17.59	 18.14	 18.29	 18.44	 18.59	 19.14	 19.29	 19.44	 19.59	 20.18	 20.48	 21.18	 21.48	 22.18	 22.48	 23.18	 23.48	 24.18	    -	 24.48	    -	    -
17	1380	Saarlandstraße	2	 05.54	 06.19	 06.49	 07.19	 07.49	 08.19	 08.49	 09.19	 09.49	 10.19	 10.49	 11.19	 11.45	 12.00	 12.15	 12.30	 12.45	 13.00	 13.15	 13.30	 13.45	 14.00	 14.15	 14.30	 14.45	 15.00	 15.15	 15.30	 15.45	 16.00	 16.15	 16.30	 16.45	 17.00	 17.15	 17.30	 17.45	 18.00	 18.15	 18.30	 18.45	 19.00	 19.15	 19.30	 19.45	 20.00	 20.19	 20.49	 21.19	 21.49	 22.19	 22.49	 23.19	 23.49	 24.19	    -	 24.49	    -	    -
18	1381	Robert-Dick-Weg	2	 05.55	 06.20	 06.50	 07.20	 07.50	 08.20	 08.50	 09.20	 09.50	 10.20	 10.50	 11.20	 11.46	 12.01	 12.16	 12.31	 12.46	 13.01	 13.16	 13.31	 13.46	 14.01	 14.16	 14.31	 14.46	 15.01	 15.16	 15.31	 15.46	 16.01	 16.16	 16.31	 16.46	 17.01	 17.16	 17.31	 17.46	 18.01	 18.16	 18.31	 18.46	 19.01	 19.16	 19.31	 19.46	 20.01	 20.20	 20.50	 21.20	 21.50	 22.20	 22.50	 23.20	 23.50	 24.20	    -	 24.50	    -	    -
19	1382	Egginger Weg	2	 05.56	 06.21	 06.51	 07.21	 07.51	 08.21	 08.51	 09.21	 09.51	 10.21	 10.51	 11.21	 11.47	 12.02	 12.17	 12.32	 12.47	 13.02	 13.17	 13.32	 13.47	 14.02	 14.17	 14.32	 14.47	 15.02	 15.17	 15.32	 15.47	 16.02	 16.17	 16.32	 16.47	 17.02	 17.17	 17.32	 17.47	 18.02	 18.17	 18.32	 18.47	 19.02	 19.17	 19.32	 19.47	 20.02	 20.21	 20.51	 21.21	 21.51	 22.21	 22.51	 23.21	 23.51	 24.21	    -	 24.51	    -	    -
20	1383	Gewerbeschulen Königstraße	2	 05.57	 06.22	 06.52	 07.22	 07.52	 08.22	 08.52	 09.22	 09.52	 10.22	 10.52	 11.22	 11.48	 12.03	 12.18	 12.33	 12.48	 13.03	 13.18	 13.33	 13.48	 14.03	 14.18	 14.33	 14.48	 15.03	 15.18	 15.33	 15.48	 16.03	 16.18	 16.33	 16.48	 17.03	 17.18	 17.33	 17.48	 18.03	 18.18	 18.33	 18.48	 19.03	 19.18	 19.33	 19.48	 20.03	 20.22	 20.52	 21.22	 21.52	 22.22	 22.52	 23.22	 23.52	 24.22	    -	 24.52	    -	    -
21	1390	Kuhberg Schulzentrum	2	 05.57	 06.22	 06.52	 07.22	 07.52	 08.22	 08.52	 09.22	 09.52	 10.22	 10.52	 11.22	 11.49	 12.04	 12.19	 12.34	 12.49	 13.04	 13.19	 13.34	 13.49	 14.04	 14.19	 14.34	 14.49	 15.04	 15.19	 15.34	 15.49	 16.04	 16.19	 16.34	 16.49	 17.04	 17.19	 17.34	 17.49	 18.04	 18.19	 18.34	 18.49	 19.04	 19.19	 19.34	 19.49	 20.04	 20.22	 20.52	 21.22	 21.52	 22.22	 22.52	 23.22	 23.52	 24.22	    -	 24.52	    -	    -
22	1391	Oberer Kuhberg	2	    -	    -	    $	 07.23	    $	 08.23	    $	 09.23	    $	 10.23	    $	 11.23	    $	 12.05	    -	    -	    $	 13.05	    -	    -	    $	 14.05	    -	    -	    $	 15.05	    -	    -	    $	 16.05	    -	    -	    $	 17.05	    -	    -	    $	 18.05	    -	    -	    $	 19.05	    -	    -	    $	    -	 20.23	    $	 21.23	    $	 22.23	    $	 23.23	    $	 24.23	    -	 24.53	    -	    -
23	1392	Am Hochsträß	1	    -	    -	    $	 07.24	    $	 08.24	    $	 09.24	    $	 10.24	    $	 11.24	    $	 12.06	    -	    -	    $	 13.06	    -	    -	    $	 14.06	    -	    -	    $	 15.06	    -	    -	    $	 16.06	    -	    -	    $	 17.06	    -	    -	    $	 18.06	    -	    -	    $	 19.06	    -	    -	    $	    -	 20.24	    $	 21.24	    $	 22.24	    $	 23.24	    $	 24.24	    -	 24.54	    -	    -
24	1393	Grimmelfinger Weg	2	    -	    -	 06.53	    -	 07.53	    -	 08.53	    -	 09.53	    -	 10.53	    -	 11.50	    -	    -	    -	 12.50	    -	    -	    -	 13.50	    -	    -	    -	 14.50	    -	    -	    -	 15.50	    -	    -	    -	 16.50	    -	    -	    -	 17.50	    -	    -	    -	 18.50	    -	    -	    -	 19.50	    -	    -	 20.53	    -	 21.53	    -	 22.53	    -	 23.53	    -	    -	    -	    -	    -
25	1395	Barbaralinde	2	    -	    -	 06.54	    -	 07.54	    -	 08.54	    -	 09.54	    -	 10.54	    -	 11.51	    -	    -	    -	 12.51	    -	    -	    -	 13.51	    -	    -	    -	 14.51	    -	    -	    -	 15.51	    -	    -	    -	 16.51	    -	    -	    -	 17.51	    -	    -	    -	 18.51	    -	    -	    -	 19.51	    -	    -	 20.54	    -	 21.54	    -	 22.54	    -	 23.54	    -	    -	    -	    -	    -
26	1401	Häberlinweg	2	    -	    -	 06.56	    -	 07.56	    -	 08.56	    -	 09.56	    -	 10.56	    -	 11.53	    -	    -	    -	 12.53	    -	    -	    -	 13.53	    -	    -	    -	 14.53	    -	    -	    -	 15.53	    -	    -	    -	 16.53	    -	    -	    -	 17.53	    -	    -	    -	 18.53	    -	    -	    -	 19.53	    -	    -	 20.56	    -	 21.56	    -	 22.56	    -	 23.56	    -	    -	    -	    -	    -
27	1400	Rathausstraße	2	    -	    -	 06.57	    -	 07.57	    -	 08.57	    -	 09.57	    -	 10.57	    -	 11.54	    -	    -	    -	 12.54	    -	    -	    -	 13.54	    -	    -	    -	 14.54	    -	    -	    -	 15.54	    -	    -	    -	 16.54	    -	    -	    -	 17.54	    -	    -	    -	 18.54	    -	    -	    -	 19.54	    -	    -	 20.57	    -	 21.57	    -	 22.57	    -	 23.57	    -	    -	    -	    -	    -
28	1403	Eisenbahnstraße	3	    -	    -	 06.58	    -	 07.58	    -	 08.58	    -	 09.58	    -	 10.58	    -	 11.55	    -	    -	    -	 12.55	    -	    -	    -	 13.55	    -	    -	    -	 14.55	    -	    -	    -	 15.55	    -	    -	    -	 16.55	    -	    -	    -	 17.55	    -	    -	    -	 18.55	    -	    -	    -	 19.55	    -	    -	 20.58	    -	 21.58	    -	 22.58	    -	 23.58	    -	    -	    -	    -	    -
