			Fahrtenschl¸ssel	04:53	05:30	05:32	05:40	05:50	06:00	06:10	06:20	06:30	06:38	06:50	06:59	07:07	07:17	07:27	07:37	07:47	07:57	08:07	08:17	08:27	08:37	08:49	08:57	09:10	09:18	09:30	09:38	09:50	09:58	10:10	10:18	10:30	10:38	10:50	10:58	11:10	11:18	11:30	11:38	11:50	11:58	12:10	12:18	12:30	12:38	12:50	12:58	13:10	13:18	13:28	13:38	13:50	13:58	14:09	14:17	14:29	14:37	14:49	14:57	15:09	15:17	15:29	15:37	15:49	15:57	16:09	16:17	16:29	16:37	16:49	16:57	17:10	17:18	17:30	17:38	17:50	17:58	18:10	18:18	18:30	18:38	18:50	19:00	19:15	19:26	19:45	20:00	20:15	20:29	20:59	21:33	21:59	22:33	22:59	23:33	23:59	24:33
9	1383	Gewerbeschulen Kˆnigstraﬂe	1	 04.55	    -	 05.32	 05.42	 05.52	 06.02	 06.12	 06.22	 06.32	 06.42	 06.52	 07.01	 07.11	 07.21	 07.31	 07.41	 07.51	 08.01	 08.11	 08.21	 08.31	 08.41	 08.51	 09.01	 09.12	 09.22	 09.32	 09.42	 09.52	 10.02	 10.12	 10.22	 10.32	 10.42	 10.52	 11.02	 11.12	 11.22	 11.32	 11.42	 11.52	 12.02	 12.12	 12.22	 12.32	 12.42	 12.52	 13.02	 13.12	 13.22	 13.32	 13.42	 13.52	 14.02	 14.11	 14.21	 14.31	 14.41	 14.51	 15.01	 15.11	 15.21	 15.31	 15.41	 15.51	 16.01	 16.11	 16.21	 16.31	 16.41	 16.51	 17.01	 17.12	 17.22	 17.32	 17.42	 17.52	 18.02	 18.12	 18.22	 18.32	 18.42	 18.52	 19.04	 19.19	 19.34	 19.49	 20.04	 20.19	 20.36	 21.06	 21.36	 22.06	 22.36	 23.06	 23.36	 24.06	 24.36
10	1382	Egginger Weg	1	 04.55	    -	 05.32	 05.42	 05.52	 06.02	 06.12	 06.22	 06.32	 06.42	 06.52	 07.02	 07.12	 07.22	 07.32	 07.42	 07.52	 08.02	 08.12	 08.22	 08.32	 08.42	 08.52	 09.02	 09.12	 09.22	 09.32	 09.42	 09.52	 10.02	 10.12	 10.22	 10.32	 10.42	 10.52	 11.02	 11.12	 11.22	 11.32	 11.42	 11.52	 12.02	 12.12	 12.22	 12.32	 12.42	 12.52	 13.02	 13.12	 13.22	 13.32	 13.42	 13.52	 14.02	 14.12	 14.22	 14.32	 14.42	 14.52	 15.02	 15.12	 15.22	 15.32	 15.42	 15.52	 16.02	 16.12	 16.22	 16.32	 16.42	 16.52	 17.02	 17.12	 17.22	 17.32	 17.42	 17.52	 18.02	 18.12	 18.22	 18.32	 18.42	 18.52	 19.04	 19.19	 19.34	 19.49	 20.04	 20.19	 20.36	 21.06	 21.36	 22.06	 22.36	 23.06	 23.36	 24.06	 24.36
11	1381	Robert-Dick-Weg	1	 04.56	    -	 05.33	 05.43	 05.53	 06.03	 06.13	 06.23	 06.33	 06.43	 06.53	 07.03	 07.13	 07.23	 07.33	 07.43	 07.53	 08.03	 08.13	 08.23	 08.33	 08.43	 08.53	 09.03	 09.13	 09.23	 09.33	 09.43	 09.53	 10.03	 10.13	 10.23	 10.33	 10.43	 10.53	 11.03	 11.13	 11.23	 11.33	 11.43	 11.53	 12.03	 12.13	 12.23	 12.33	 12.43	 12.53	 13.03	 13.13	 13.23	 13.33	 13.43	 13.53	 14.03	 14.13	 14.23	 14.33	 14.43	 14.53	 15.03	 15.13	 15.23	 15.33	 15.43	 15.53	 16.03	 16.13	 16.23	 16.33	 16.43	 16.53	 17.03	 17.13	 17.23	 17.33	 17.43	 17.53	 18.03	 18.13	 18.23	 18.33	 18.43	 18.53	 19.05	 19.20	 19.35	 19.50	 20.05	 20.20	 20.37	 21.07	 21.37	 22.07	 22.37	 23.07	 23.37	 24.07	 24.37
12	1380	Saarlandstraﬂe	1	 04.57	    -	 05.34	 05.44	 05.54	 06.04	 06.14	 06.24	 06.34	 06.44	 06.54	 07.04	 07.14	 07.24	 07.34	 07.44	 07.54	 08.04	 08.14	 08.24	 08.34	 08.44	 08.54	 09.04	 09.14	 09.24	 09.34	 09.44	 09.54	 10.04	 10.14	 10.24	 10.34	 10.44	 10.54	 11.04	 11.14	 11.24	 11.34	 11.44	 11.54	 12.04	 12.14	 12.24	 12.34	 12.44	 12.54	 13.04	 13.14	 13.24	 13.34	 13.44	 13.54	 14.04	 14.14	 14.24	 14.34	 14.44	 14.54	 15.04	 15.14	 15.24	 15.34	 15.44	 15.54	 16.04	 16.14	 16.24	 16.34	 16.44	 16.54	 17.04	 17.14	 17.24	 17.34	 17.44	 17.54	 18.04	 18.14	 18.24	 18.34	 18.44	 18.54	 19.06	 19.21	 19.36	 19.51	 20.06	 20.21	 20.38	 21.08	 21.38	 22.08	 22.38	 23.08	 23.38	 24.08	 24.38
13	1360	Rˆmerplatz	1	 04.58	    -	 05.35	 05.45	 05.55	 06.05	 06.15	 06.25	 06.35	 06.45	 06.55	 07.05	 07.15	 07.25	 07.35	 07.45	 07.55	 08.05	 08.15	 08.25	 08.35	 08.45	 08.55	 09.05	 09.15	 09.25	 09.35	 09.45	 09.55	 10.05	 10.15	 10.25	 10.35	 10.45	 10.55	 11.05	 11.15	 11.25	 11.35	 11.45	 11.55	 12.05	 12.15	 12.25	 12.35	 12.45	 12.55	 13.05	 13.15	 13.25	 13.35	 13.45	 13.55	 14.05	 14.15	 14.25	 14.35	 14.45	 14.55	 15.05	 15.15	 15.25	 15.35	 15.45	 15.55	 16.05	 16.15	 16.25	 16.35	 16.45	 16.55	 17.05	 17.15	 17.25	 17.35	 17.45	 17.55	 18.05	 18.15	 18.25	 18.35	 18.45	 18.55	 19.07	 19.22	 19.37	 19.52	 20.07	 20.22	 20.39	 21.09	 21.39	 22.09	 22.39	 23.09	 23.39	 24.09	 24.39
14	1359	Haﬂlerstraﬂe	1	 04.59	    -	 05.36	 05.46	 05.56	 06.06	 06.16	 06.26	 06.36	 06.46	 06.56	 07.06	 07.16	 07.26	 07.36	 07.46	 07.56	 08.06	 08.16	 08.26	 08.36	 08.46	 08.56	 09.06	 09.16	 09.26	 09.36	 09.46	 09.56	 10.06	 10.16	 10.26	 10.36	 10.46	 10.56	 11.06	 11.16	 11.26	 11.36	 11.46	 11.56	 12.06	 12.16	 12.26	 12.36	 12.46	 12.56	 13.06	 13.16	 13.26	 13.36	 13.46	 13.56	 14.06	 14.16	 14.26	 14.36	 14.46	 14.56	 15.06	 15.16	 15.26	 15.36	 15.46	 15.56	 16.06	 16.16	 16.26	 16.36	 16.46	 16.56	 17.06	 17.16	 17.26	 17.36	 17.46	 17.56	 18.06	 18.16	 18.26	 18.36	 18.46	 18.56	 19.08	 19.23	 19.38	 19.53	 20.08	 20.23	 20.40	 21.10	 21.40	 22.10	 22.40	 23.10	 23.40	 24.10	 24.40
15	1350	Ehinger Tor	3	 05.03	 05.30	 05.40	 05.50	 06.00	 06.10	 06.20	 06.30	 06.40	 06.50	 07.00	 07.10	 07.20	 07.30	 07.40	 07.50	 08.00	 08.10	 08.20	 08.30	 08.40	 08.50	 09.00	 09.10	 09.20	 09.30	 09.40	 09.50	 10.00	 10.10	 10.20	 10.30	 10.40	 10.50	 11.00	 11.10	 11.20	 11.30	 11.40	 11.50	 12.00	 12.10	 12.20	 12.30	 12.40	 12.50	 13.00	 13.10	 13.20	 13.30	 13.40	 13.50	 14.00	 14.10	 14.20	 14.30	 14.40	 14.50	 15.00	 15.10	 15.20	 15.30	 15.40	 15.50	 16.00	 16.10	 16.20	 16.30	 16.40	 16.50	 17.00	 17.10	 17.20	 17.30	 17.40	 17.50	 18.00	 18.10	 18.20	 18.30	 18.40	 18.50	 19.00	 19.12	 19.27	 19.42	 19.57	 20.12	 20.27	 20.42	 21.12	 21.42	 22.12	 22.42	 23.12	 23.42	 24.12	 24.42
16	1001	Steinerne Br¸cke	1	 05.06	 05.33	 05.43	 05.53	 06.03	 06.13	 06.23	 06.33	 06.43	 06.53	 07.03	 07.13	 07.23	 07.33	 07.43	 07.53	 08.03	 08.13	 08.23	 08.33	 08.43	 08.53	 09.03	 09.13	 09.23	 09.33	 09.43	 09.53	 10.03	 10.13	 10.23	 10.33	 10.43	 10.53	 11.03	 11.13	 11.23	 11.33	 11.43	 11.53	 12.03	 12.13	 12.23	 12.33	 12.43	 12.53	 13.03	 13.13	 13.23	 13.33	 13.43	 13.53	 14.03	 14.13	 14.23	 14.33	 14.43	 14.53	 15.03	 15.13	 15.23	 15.33	 15.43	 15.53	 16.03	 16.13	 16.23	 16.33	 16.43	 16.53	 17.03	 17.13	 17.23	 17.33	 17.43	 17.53	 18.03	 18.13	 18.23	 18.33	 18.43	 18.53	 19.03	 19.15	 19.30	 19.45	 20.00	 20.15	 20.30	 20.45	 21.15	 21.45	 22.15	 22.45	 23.15	 23.45	 24.15	 24.45
17	1002	Rathaus Ulm	1	 05.07	 05.34	 05.44	 05.54	 06.04	 06.14	 06.24	 06.34	 06.44	 06.54	 07.04	 07.14	 07.24	 07.34	 07.44	 07.54	 08.04	 08.14	 08.24	 08.34	 08.44	 08.54	 09.04	 09.14	 09.24	 09.34	 09.44	 09.54	 10.04	 10.14	 10.24	 10.34	 10.44	 10.54	 11.04	 11.14	 11.24	 11.34	 11.44	 11.54	 12.04	 12.14	 12.24	 12.34	 12.44	 12.54	 13.04	 13.14	 13.24	 13.34	 13.44	 13.54	 14.04	 14.14	 14.24	 14.34	 14.44	 14.54	 15.04	 15.14	 15.24	 15.34	 15.44	 15.54	 16.04	 16.14	 16.24	 16.34	 16.44	 16.54	 17.04	 17.14	 17.24	 17.34	 17.44	 17.54	 18.04	 18.14	 18.24	 18.34	 18.44	 18.54	 19.04	 19.16	 19.31	 19.46	 20.01	 20.16	 20.31	 20.47	 21.17	 21.47	 22.17	 22.47	 23.17	 23.47	 24.17	 24.47
18	1009	Hafengasse	1	 05.09	 05.36	 05.46	 05.56	 06.06	 06.16	 06.26	 06.36	 06.46	 06.56	 07.06	 07.16	 07.26	 07.36	 07.46	 07.56	 08.06	 08.16	 08.26	 08.36	 08.46	 08.56	 09.06	 09.16	 09.26	 09.36	 09.46	 09.56	 10.06	 10.16	 10.26	 10.36	 10.46	 10.56	 11.06	 11.16	 11.26	 11.36	 11.46	 11.56	 12.06	 12.16	 12.26	 12.36	 12.46	 12.56	 13.06	 13.16	 13.26	 13.36	 13.46	 13.56	 14.06	 14.16	 14.26	 14.36	 14.46	 14.56	 15.06	 15.16	 15.26	 15.36	 15.46	 15.56	 16.06	 16.16	 16.26	 16.36	 16.46	 16.56	 17.06	 17.16	 17.26	 17.36	 17.46	 17.56	 18.06	 18.16	 18.26	 18.36	 18.46	 18.56	 19.06	 19.18	 19.33	 19.48	 20.03	 20.18	 20.33	 20.49	 21.19	 21.49	 22.19	 22.49	 23.19	 23.49	 24.19	 24.49
19	1003	Rosengasse	1	 05.10	 05.37	 05.47	 05.57	 06.07	 06.17	 06.27	 06.37	 06.47	 06.57	 07.07	 07.17	 07.27	 07.37	 07.47	 07.57	 08.07	 08.17	 08.27	 08.37	 08.47	 08.57	 09.07	 09.17	 09.27	 09.37	 09.47	 09.57	 10.07	 10.17	 10.27	 10.37	 10.47	 10.57	 11.07	 11.17	 11.27	 11.37	 11.47	 11.57	 12.07	 12.17	 12.27	 12.37	 12.47	 12.57	 13.07	 13.17	 13.27	 13.37	 13.47	 13.57	 14.07	 14.17	 14.27	 14.37	 14.47	 14.57	 15.07	 15.17	 15.27	 15.37	 15.47	 15.57	 16.07	 16.17	 16.27	 16.37	 16.47	 16.57	 17.07	 17.17	 17.27	 17.37	 17.47	 17.57	 18.07	 18.17	 18.27	 18.37	 18.47	 18.57	 19.07	 19.19	 19.34	 19.49	 20.04	 20.19	 20.34	 20.49	 21.19	 21.49	 22.19	 22.49	 23.19	 23.49	 24.19	 24.49
20	1050	Willy-Brandt-Platz	1	 05.12	 05.39	 05.49	 05.59	 06.09	 06.19	 06.29	 06.39	 06.49	 06.59	 07.09	 07.19	 07.29	 07.39	 07.49	 07.59	 08.09	 08.19	 08.29	 08.39	 08.49	 08.59	 09.09	 09.19	 09.29	 09.39	 09.49	 09.59	 10.09	 10.19	 10.29	 10.39	 10.49	 10.59	 11.09	 11.19	 11.29	 11.39	 11.49	 11.59	 12.09	 12.19	 12.29	 12.39	 12.49	 12.59	 13.09	 13.19	 13.29	 13.39	 13.49	 13.59	 14.09	 14.19	 14.29	 14.39	 14.49	 14.59	 15.09	 15.19	 15.29	 15.39	 15.49	 15.59	 16.09	 16.19	 16.29	 16.39	 16.49	 16.59	 17.09	 17.19	 17.29	 17.39	 17.49	 17.59	 18.09	 18.19	 18.29	 18.39	 18.49	 18.59	 19.09	 19.21	 19.36	 19.51	 20.06	 20.21	 20.36	 20.51	 21.21	 21.51	 22.21	 22.51	 23.21	 23.51	 24.21	 24.51
21	1058	Ostplatz	1	 05.14	 05.41	 05.51	 06.01	 06.11	 06.21	 06.31	 06.41	 06.51	 07.01	 07.11	 07.21	 07.31	 07.41	 07.51	 08.01	 08.11	 08.21	 08.31	 08.41	 08.51	 09.01	 09.11	 09.21	 09.31	 09.41	 09.51	 10.01	 10.11	 10.21	 10.31	 10.41	 10.51	 11.01	 11.11	 11.21	 11.31	 11.41	 11.51	 12.01	 12.11	 12.21	 12.31	 12.41	 12.51	 13.01	 13.11	 13.21	 13.31	 13.41	 13.51	 14.01	 14.11	 14.21	 14.31	 14.41	 14.51	 15.01	 15.11	 15.21	 15.31	 15.41	 15.51	 16.01	 16.11	 16.21	 16.31	 16.41	 16.51	 17.01	 17.11	 17.21	 17.31	 17.41	 17.51	 18.01	 18.11	 18.21	 18.31	 18.41	 18.51	 19.01	 19.11	 19.23	 19.38	 19.53	 20.08	 20.23	 20.38	 20.53	 21.23	 21.53	 22.23	 22.53	 23.23	 23.53	 24.23	 24.53
22	1048	÷rlinger Straﬂe	1	 05.15	 05.42	 05.52	 06.02	 06.12	 06.22	 06.32	 06.42	 06.52	 07.02	 07.12	 07.22	 07.32	 07.42	 07.52	 08.02	 08.12	 08.22	 08.32	 08.42	 08.52	 09.02	 09.12	 09.22	 09.32	 09.42	 09.52	 10.02	 10.12	 10.22	 10.32	 10.42	 10.52	 11.02	 11.12	 11.22	 11.32	 11.42	 11.52	 12.02	 12.12	 12.22	 12.32	 12.42	 12.52	 13.02	 13.12	 13.22	 13.32	 13.42	 13.52	 14.02	 14.12	 14.22	 14.32	 14.42	 14.52	 15.02	 15.12	 15.22	 15.32	 15.42	 15.52	 16.02	 16.12	 16.22	 16.32	 16.42	 16.52	 17.02	 17.12	 17.22	 17.32	 17.42	 17.52	 18.02	 18.12	 18.22	 18.32	 18.42	 18.52	 19.02	 19.12	 19.24	 19.39	 19.54	 20.09	 20.24	 20.39	 20.54	 21.24	 21.54	 22.24	 22.54	 23.24	 23.54	 24.24	 24.54
23	1059	Steinhˆvelstraﬂe	1	 05.16	 05.43	 05.53	 06.03	 06.13	 06.23	 06.33	 06.43	 06.53	 07.03	 07.13	 07.23	 07.33	 07.43	 07.53	 08.03	 08.13	 08.23	 08.33	 08.43	 08.53	 09.03	 09.13	 09.23	 09.33	 09.43	 09.53	 10.03	 10.13	 10.23	 10.33	 10.43	 10.53	 11.03	 11.13	 11.23	 11.33	 11.43	 11.53	 12.03	 12.13	 12.23	 12.33	 12.43	 12.53	 13.03	 13.13	 13.23	 13.33	 13.43	 13.53	 14.03	 14.13	 14.23	 14.33	 14.43	 14.53	 15.03	 15.13	 15.23	 15.33	 15.43	 15.53	 16.03	 16.13	 16.23	 16.33	 16.43	 16.53	 17.03	 17.13	 17.23	 17.33	 17.43	 17.53	 18.03	 18.13	 18.23	 18.33	 18.43	 18.53	 19.03	 19.13	 19.25	 19.40	 19.55	 20.10	 20.25	 20.40	 20.55	 21.25	 21.55	 22.25	 22.55	 23.25	 23.55	 24.25	 24.55
24	1060	Safranberg	1	 05.17	 05.44	 05.54	 06.04	 06.14	 06.24	 06.34	 06.44	 06.54	 07.04	 07.14	 07.24	 07.34	 07.44	 07.54	 08.04	 08.14	 08.24	 08.34	 08.44	 08.54	 09.04	 09.14	 09.24	 09.34	 09.44	 09.54	 10.04	 10.14	 10.24	 10.34	 10.44	 10.54	 11.04	 11.14	 11.24	 11.34	 11.44	 11.54	 12.04	 12.14	 12.24	 12.34	 12.44	 12.54	 13.04	 13.14	 13.24	 13.34	 13.44	 13.54	 14.04	 14.14	 14.24	 14.34	 14.44	 14.54	 15.04	 15.14	 15.24	 15.34	 15.44	 15.54	 16.04	 16.14	 16.24	 16.34	 16.44	 16.54	 17.04	 17.14	 17.24	 17.34	 17.44	 17.54	 18.04	 18.14	 18.24	 18.34	 18.44	 18.54	 19.04	 19.14	 19.26	 19.41	 19.56	 20.11	 20.26	 20.41	 20.56	 21.26	 21.56	 22.26	 22.56	 23.26	 23.56	 24.26	 24.56
25	1061	Albecker Steige	1	 05.18	 05.45	 05.55	 06.05	 06.15	 06.25	 06.35	 06.45	 06.55	 07.05	 07.15	 07.25	 07.35	 07.45	 07.55	 08.05	 08.15	 08.25	 08.35	 08.45	 08.55	 09.05	 09.15	 09.25	 09.35	 09.45	 09.55	 10.05	 10.15	 10.25	 10.35	 10.45	 10.55	 11.05	 11.15	 11.25	 11.35	 11.45	 11.55	 12.05	 12.15	 12.25	 12.35	 12.45	 12.55	 13.05	 13.15	 13.25	 13.35	 13.45	 13.55	 14.05	 14.15	 14.25	 14.35	 14.45	 14.55	 15.05	 15.15	 15.25	 15.35	 15.45	 15.55	 16.05	 16.15	 16.25	 16.35	 16.45	 16.55	 17.05	 17.15	 17.25	 17.35	 17.45	 17.55	 18.05	 18.15	 18.25	 18.35	 18.45	 18.55	 19.05	 19.15	 19.27	 19.42	 19.57	 20.12	 20.27	 20.42	 20.57	 21.27	 21.57	 22.27	 22.57	 23.27	 23.57	 24.27	 24.57
26	1079	Eichenplatz	1	 05.19	 05.46	 05.56	 06.06	 06.16	 06.26	 06.36	 06.46	 06.56	 07.06	 07.16	 07.26	 07.36	 07.46	 07.56	 08.06	 08.16	 08.26	 08.36	 08.46	 08.56	 09.06	 09.16	 09.26	 09.36	 09.46	 09.56	 10.06	 10.16	 10.26	 10.36	 10.46	 10.56	 11.06	 11.16	 11.26	 11.36	 11.46	 11.56	 12.06	 12.16	 12.26	 12.36	 12.46	 12.56	 13.06	 13.16	 13.26	 13.36	 13.46	 13.56	 14.06	 14.16	 14.26	 14.36	 14.46	 14.56	 15.06	 15.16	 15.26	 15.36	 15.46	 15.56	 16.06	 16.16	 16.26	 16.36	 16.46	 16.56	 17.06	 17.16	 17.26	 17.36	 17.46	 17.56	 18.06	 18.16	 18.26	 18.36	 18.46	 18.56	 19.06	 19.16	 19.28	 19.43	 19.58	 20.13	 20.28	 20.43	 20.58	 21.28	 21.58	 22.28	 22.58	 23.28	 23.58	 24.28	 24.58
27	1081	Eichberg	1	    $	    $	    $	 06.07	    $	 06.27	    $	 06.47	    $	 07.07	    $	 07.27	    $	 07.47	    $	 08.07	    $	 08.27	    $	 08.47	    $	 09.07	    $	 09.27	    $	 09.47	    $	 10.07	    $	 10.27	    $	 10.47	    $	 11.07	    $	 11.27	    $	 11.47	    $	 12.07	    $	 12.27	    $	 12.47	    $	 13.07	    $	 13.27	    $	 13.47	    $	 14.07	    $	 14.27	    $	 14.47	    $	 15.07	    $	 15.27	    $	 15.47	    $	 16.07	    $	 16.27	    $	 16.47	    $	 17.07	    $	 17.27	    $	 17.47	    $	 18.07	    $	 18.27	    $	 18.47	    $	 19.07	    $	 19.29	    $	 19.59	    $	 20.29	    $	 20.59	 21.29	 21.59	 22.29	 22.59	 23.29	 23.59	 24.29	 24.59
28	1082	Eichberg Nord	1	    $	    $	    $	 06.08	    $	 06.28	    $	 06.48	    $	 07.08	    $	 07.28	    $	 07.48	    $	 08.08	    $	 08.28	    $	 08.48	    $	 09.08	    $	 09.28	    $	 09.48	    $	 10.08	    $	 10.28	    $	 10.48	    $	 11.08	    $	 11.28	    $	 11.48	    $	 12.08	    $	 12.28	    $	 12.48	    $	 13.08	    $	 13.28	    $	 13.48	    $	 14.08	    $	 14.28	    $	 14.48	    $	 15.08	    $	 15.28	    $	 15.48	    $	 16.08	    $	 16.28	    $	 16.48	    $	 17.08	    $	 17.28	    $	 17.48	    $	 18.08	    $	 18.28	    $	 18.48	    $	 19.08	    $	 19.30	    $	 20.00	    $	 20.30	    $	 21.00	 21.30	 22.00	 22.30	 23.00	 23.30	 24.00	 24.30	 25.00
