			Fahrtenschl¸ssel	05:06	05:35	05:55	06:15	06:35	06:37	07:05	07:07	07:35	07:37	08:05	08:07	08:35	08:37	09:05	09:07	09:35	09:37	10:05	10:07	10:35	10:37	11:05	11:07	11:35	11:37	11:53	12:08	12:23	12:38	12:53	13:08	13:23	13:38	13:53	14:08	14:23	14:38	14:53	15:08	15:23	15:38	15:53	16:08	16:23	16:38	16:53	17:08	17:23	17:38	17:53	18:08	18:23	18:38	18:53	19:08	19:23	19:38	19:53	20:08	20:35	20:37	21:05	21:07	21:35	21:37	22:05	22:07	22:35	22:37	23:05	23:07	23:35	23:37	23:38	24:07	24:09	24:11	24:35	24:37
8	1743	Neue Hochschule	1	    -	    -	    -	 06.00	    -	 06.30	    -	 07.00	    -	 07.30	    -	 08.00	    -	 08.30	    -	 09.00	    -	 09.30	    -	 10.00	    -	 10.30	    -	 11.00	    -	 11.17	    -	 11.47	    -	 12.17	    -	 12.47	    -	 13.17	    -	 13.47	    -	 14.17	    -	 14.47	    -	 15.17	    -	 15.47	    -	 16.17	    -	 16.47	    -	 17.17	    -	 17.47	    -	 18.17	    -	 18.47	    -	 19.17	    -	 20.00	    -	 20.30	    -	 21.00	    -	 21.30	    -	 22.00	    -	 22.30	    -	 23.00	    -	 23.30	 23.30	    -	 24.00	 24.00	    -	 24.30
9	1725	Edisoncenter	1	    -	    -	    -	 06.01	    -	 06.31	    -	 07.01	    -	 07.31	    -	 08.01	    -	 08.31	    -	 09.01	    -	 09.31	    -	 10.01	    -	 10.31	    -	 11.01	    -	 11.18	    -	 11.48	    -	 12.18	    -	 12.48	    -	 13.18	    -	 13.48	    -	 14.18	    -	 14.48	    -	 15.18	    -	 15.48	    -	 16.18	    -	 16.48	    -	 17.18	    -	 17.48	    -	 18.18	    -	 18.48	    -	 19.18	    -	 20.01	    -	 20.31	    -	 21.01	    -	 21.31	    -	 22.01	    -	 22.31	    -	 23.01	    -	 23.31	 23.31	    -	 24.01	 24.01	    -	 24.31
10	1742	Dietrich-Kino	1	    -	    -	    -	 06.03	    -	 06.33	    -	 07.03	    -	 07.33	    -	 08.03	    -	 08.33	    -	 09.03	    -	 09.33	    -	 10.03	    -	 10.33	    -	 11.03	    -	 11.20	    -	 11.50	    -	 12.20	    -	 12.50	    -	 13.20	    -	 13.50	    -	 14.20	    -	 14.50	    -	 15.20	    -	 15.50	    -	 16.20	    -	 16.50	    -	 17.20	    -	 17.50	    -	 18.20	    -	 18.50	    -	 19.20	    -	 20.03	    -	 20.33	    -	 21.03	    -	 21.33	    -	 22.03	    -	 22.33	    -	 23.03	    -	 23.33	 23.33	    -	 24.03	 24.03	    -	 24.33
11	1724	Memminger Straﬂe	1	    -	    -	    -	 06.03	    -	 06.33	    -	 07.03	    -	 07.33	    -	 08.03	    -	 08.33	    -	 09.03	    -	 09.33	    -	 10.03	    -	 10.33	    -	 11.03	    -	 11.20	    -	 11.50	    -	 12.20	    -	 12.50	    -	 13.20	    -	 13.50	    -	 14.20	    -	 14.50	    -	 15.20	    -	 15.50	    -	 16.20	    -	 16.50	    -	 17.20	    -	 17.50	    -	 18.20	    -	 18.50	    -	 19.20	    -	 20.03	    -	 20.33	    -	 21.03	    -	 21.33	    -	 22.03	    -	 22.33	    -	 23.03	    -	 23.33	 23.33	    -	 24.03	 24.03	    -	 24.33
12	1741	Fachoberschule	1	    -	    -	    -	 06.04	    -	 06.34	    -	 07.04	    -	 07.34	    -	 08.04	    -	 08.34	    -	 09.04	    -	 09.34	    -	 10.04	    -	 10.34	    -	 11.04	    -	 11.21	    -	 11.51	    -	 12.21	    -	 12.51	    -	 13.21	    -	 13.51	    -	 14.21	    -	 14.51	    -	 15.21	    -	 15.51	    -	 16.21	    -	 16.51	    -	 17.21	    -	 17.51	    -	 18.21	    -	 18.51	    -	 19.21	    -	 20.04	    -	 20.34	    -	 21.04	    -	 21.34	    -	 22.04	    -	 22.34	    -	 23.04	    -	 23.34	 23.34	    -	 24.04	 24.04	    -	 24.34
13	1744	Washingtonallee	1	 05.06	    -	 05.36	    $	 06.06	    $	 06.36	    $	 07.06	    $	 07.36	    $	 08.06	    $	 08.36	    $	 09.06	    $	 09.36	    $	 10.06	    $	 10.36	    $	 11.06	    $	 11.26	    $	 11.56	    $	 12.26	    $	 12.56	    $	 13.26	    $	 13.56	    $	 14.26	    $	 14.56	    $	 15.26	    $	 15.56	    $	 16.26	    $	 16.56	    $	 17.26	    $	 17.56	    $	 18.26	    $	 18.56	    $	 19.26	    $	 20.06	    $	 20.36	    $	 21.06	    $	 21.36	    $	 22.06	    $	 22.36	    $	 23.06	    $	    $	 23.36	    $	    $	 24.06	    $
14	1743	Neue Hochschule	1	 05.06	    -	 05.36	    $	 06.06	    $	 06.36	    $	 07.06	    $	 07.36	    $	 08.06	    $	 08.36	    $	 09.06	    $	 09.36	    $	 10.06	    $	 10.36	    $	 11.06	    $	 11.26	    $	 11.56	    $	 12.26	    $	 12.56	    $	 13.26	    $	 13.56	    $	 14.26	    $	 14.56	    $	 15.26	    $	 15.56	    $	 16.26	    $	 16.56	    $	 17.26	    $	 17.56	    $	 18.26	    $	 18.56	    $	 19.26	    $	 20.06	    $	 20.36	    $	 21.06	    $	 21.36	    $	 22.06	    $	 22.36	    $	 23.06	    $	    $	 23.36	    $	    $	 24.06	    $
15	1736	Wiley Club	1	 05.07	    -	 05.37	    $	 06.07	    $	 06.37	    $	 07.07	    $	 07.37	    $	 08.07	    $	 08.37	    $	 09.07	    $	 09.37	    $	 10.07	    $	 10.37	    $	 11.07	    $	 11.27	    $	 11.57	    $	 12.27	    $	 12.57	    $	 13.27	    $	 13.57	    $	 14.27	    $	 14.57	    $	 15.27	    $	 15.57	    $	 16.27	    $	 16.57	    $	 17.27	    $	 17.57	    $	 18.27	    $	 18.57	    $	 19.27	    $	 20.07	    $	 20.37	    $	 21.07	    $	 21.37	    $	 22.07	    $	 22.37	    $	 23.07	    $	    $	 23.37	    $	    $	 24.07	    $
16	1735	Marlene-Dietrich-Straﬂe	1	 05.08	    -	 05.38	    $	 06.08	    $	 06.38	    $	 07.08	    $	 07.38	    $	 08.08	    $	 08.38	    $	 09.08	    $	 09.38	    $	 10.08	    $	 10.38	    $	 11.08	    $	 11.28	    $	 11.58	    $	 12.28	    $	 12.58	    $	 13.28	    $	 13.58	    $	 14.28	    $	 14.58	    $	 15.28	    $	 15.58	    $	 16.28	    $	 16.58	    $	 17.28	    $	 17.58	    $	 18.28	    $	 18.58	    $	 19.28	    $	 20.08	    $	 20.38	    $	 21.08	    $	 21.38	    $	 22.08	    $	 22.38	    $	 23.08	    $	    $	 23.38	    $	    $	 24.08	    $
17	1734	Bradleystraﬂe	1	 05.09	    -	 05.39	    $	 06.09	    $	 06.39	    $	 07.09	    $	 07.39	    $	 08.09	    $	 08.39	    $	 09.09	    $	 09.39	    $	 10.09	    $	 10.39	    $	 11.09	    $	 11.29	    $	 11.59	    $	 12.29	    $	 12.59	    $	 13.29	    $	 13.59	    $	 14.29	    $	 14.59	    $	 15.29	    $	 15.59	    $	 16.29	    $	 16.59	    $	 17.29	    $	 17.59	    $	 18.29	    $	 18.59	    $	 19.29	    $	 20.09	    $	 20.39	    $	 21.09	    $	 21.39	    $	 22.09	    $	 22.39	    $	 23.09	    $	    $	 23.39	    $	    $	 24.09	    $
18	1733	Riedstraﬂe	1	 05.10	    -	 05.40	    $	 06.10	    $	 06.40	    $	 07.10	    $	 07.40	    $	 08.10	    $	 08.40	    $	 09.10	    $	 09.40	    $	 10.10	    $	 10.40	    $	 11.10	    $	 11.30	    $	 12.00	    $	 12.30	    $	 13.00	    $	 13.30	    $	 14.00	    $	 14.30	    $	 15.00	    $	 15.30	    $	 16.00	    $	 16.30	    $	 17.00	    $	 17.30	    $	 18.00	    $	 18.30	    $	 19.00	    $	 19.30	    $	 20.10	    $	 20.40	    $	 21.10	    $	 21.40	    $	 22.10	    $	 22.40	    $	 23.10	    $	    $	 23.40	    $	    $	 24.10	    $
19	1732	Escheugraben	1	 05.11	    -	 05.41	    $	 06.11	    $	 06.41	    $	 07.11	    $	 07.41	    $	 08.11	    $	 08.41	    $	 09.11	    $	 09.41	    $	 10.11	    $	 10.41	    $	 11.11	    $	 11.31	    $	 12.01	    $	 12.31	    $	 13.01	    $	 13.31	    $	 14.01	    $	 14.31	    $	 15.01	    $	 15.31	    $	 16.01	    $	 16.31	    $	 17.01	    $	 17.31	    $	 18.01	    $	 18.31	    $	 19.01	    $	 19.31	    $	 20.11	    $	 20.41	    $	 21.11	    $	 21.41	    $	 22.11	    $	 22.41	    $	 23.11	    $	    $	 23.41	    $	    $	 24.11	    $
20	1731	Steubenstraﬂe	1	 05.12	    -	 05.42	    $	 06.12	    $	 06.42	    $	 07.12	    $	 07.42	    $	 08.12	    $	 08.42	    $	 09.12	    $	 09.42	    $	 10.12	    $	 10.42	    $	 11.12	    $	 11.32	    $	 12.02	    $	 12.32	    $	 13.02	    $	 13.32	    $	 14.02	    $	 14.32	    $	 15.02	    $	 15.32	    $	 16.02	    $	 16.32	    $	 17.02	    $	 17.32	    $	 18.02	    $	 18.32	    $	 19.02	    $	 19.32	    $	 20.12	    $	 20.42	    $	 21.12	    $	 21.42	    $	 22.12	    $	 22.42	    $	 23.12	    $	    $	 23.42	    $	    $	 24.12	    $
21	1719	Waldeck	1	 05.14	    -	 05.44	    $	 06.14	    $	 06.44	    $	 07.14	    $	 07.44	    $	 08.14	    $	 08.44	    $	 09.14	    $	 09.44	    $	 10.14	    $	 10.44	    $	 11.14	    $	 11.35	    $	 12.05	    $	 12.35	    $	 13.05	    $	 13.35	    $	 14.05	    $	 14.35	    $	 15.05	    $	 15.35	    $	 16.05	    $	 16.35	    $	 17.05	    $	 17.35	    $	 18.05	    $	 18.35	    $	 19.05	    $	 19.35	    $	 20.14	    $	 20.44	    $	 21.14	    $	 21.44	    $	 22.14	    $	 22.44	    $	 23.14	    $	    $	 23.44	    $	    $	 24.14	    $
22	1729	Meininger Allee	1	 05.15	    -	 05.45	    $	 06.15	    $	 06.45	    $	 07.15	    $	 07.45	    $	 08.15	    $	 08.45	    $	 09.15	    $	 09.45	    $	 10.15	    $	 10.45	    $	 11.15	    $	 11.36	    $	 12.06	    $	 12.36	    $	 13.06	    $	 13.36	    $	 14.06	    $	 14.36	    $	 15.06	    $	 15.36	    $	 16.06	    $	 16.36	    $	 17.06	    $	 17.36	    $	 18.06	    $	 18.36	    $	 19.06	    $	 19.36	    $	 20.15	    $	 20.45	    $	 21.15	    $	 21.45	    $	 22.15	    $	 22.45	    $	 23.15	    $	    $	 23.45	    $	    $	 24.15	    $
23	1700	ZUP	3	 05.16	    -	 05.46	 06.06	 06.16	 06.36	 06.46	 07.06	 07.16	 07.36	 07.46	 08.06	 08.16	 08.36	 08.46	 09.06	 09.16	 09.36	 09.46	 10.06	 10.16	 10.36	 10.46	 11.06	 11.16	 11.23	 11.38	 11.53	 12.08	 12.23	 12.38	 12.53	 13.08	 13.23	 13.38	 13.53	 14.08	 14.23	 14.38	 14.53	 15.08	 15.23	 15.38	 15.53	 16.08	 16.23	 16.38	 16.53	 17.08	 17.23	 17.38	 17.53	 18.08	 18.23	 18.38	 18.53	 19.08	 19.23	 19.38	 20.06	 20.16	 20.36	 20.46	 21.06	 21.16	 21.36	 21.46	 22.06	 22.16	 22.36	 22.46	 23.06	 23.16	 23.36	 23.36	 23.46	 24.06	 24.06	 24.16	 24.36
24	1710	Rathaus Neu-Ulm	1	 05.17	    -	 05.47	 06.07	 06.17	 06.37	 06.47	 07.07	 07.17	 07.37	 07.47	 08.07	 08.17	 08.37	 08.47	 09.07	 09.17	 09.37	 09.47	 10.07	 10.17	 10.37	 10.47	 11.07	 11.17	 11.24	 11.39	 11.54	 12.09	 12.24	 12.39	 12.54	 13.09	 13.24	 13.39	 13.54	 14.09	 14.24	 14.39	 14.54	 15.09	 15.24	 15.39	 15.54	 16.09	 16.24	 16.39	 16.54	 17.09	 17.24	 17.39	 17.54	 18.09	 18.24	 18.39	 18.54	 19.09	 19.24	 19.39	 20.07	 20.17	 20.37	 20.47	 21.07	 21.17	 21.37	 21.47	 22.07	 22.17	 22.37	 22.47	 23.07	 23.17	 23.37	 23.37	 23.47	 24.07	 24.07	 24.17	 24.37
25	1708	Petrusplatz	1	 05.18	    -	 05.48	 06.08	 06.18	 06.38	 06.48	 07.08	 07.18	 07.38	 07.48	 08.08	 08.18	 08.38	 08.48	 09.08	 09.18	 09.38	 09.48	 10.08	 10.18	 10.38	 10.48	 11.08	 11.18	 11.26	 11.41	 11.56	 12.11	 12.26	 12.41	 12.56	 13.11	 13.26	 13.41	 13.56	 14.11	 14.26	 14.41	 14.56	 15.11	 15.26	 15.41	 15.56	 16.11	 16.26	 16.41	 16.56	 17.11	 17.26	 17.41	 17.56	 18.11	 18.26	 18.41	 18.56	 19.11	 19.26	 19.41	 20.08	 20.18	 20.38	 20.48	 21.08	 21.18	 21.38	 21.48	 22.08	 22.18	 22.38	 22.48	 23.08	 23.18	 23.38	 23.38	 23.48	 24.08	 24.08	 24.18	 24.38
26	1015	Herdbruckerstraﬂe	1	 05.19	    -	 05.49	 06.09	 06.19	 06.39	 06.49	 07.09	 07.19	 07.39	 07.49	 08.09	 08.19	 08.39	 08.49	 09.09	 09.19	 09.39	 09.49	 10.09	 10.19	 10.39	 10.49	 11.09	 11.19	 11.27	 11.42	 11.57	 12.12	 12.27	 12.42	 12.57	 13.12	 13.27	 13.42	 13.57	 14.12	 14.27	 14.42	 14.57	 15.12	 15.27	 15.42	 15.57	 16.12	 16.27	 16.42	 16.57	 17.12	 17.27	 17.42	 17.57	 18.12	 18.27	 18.42	 18.57	 19.12	 19.27	 19.42	 20.09	 20.19	 20.39	 20.49	 21.09	 21.19	 21.39	 21.49	 22.09	 22.19	 22.39	 22.49	 23.09	 23.19	 23.39	 23.39	 23.49	 24.09	 24.09	 24.19	 24.39
27	1002	Rathaus Ulm	2	 05.21	    -	 05.51	 06.11	 06.21	 06.41	 06.51	 07.11	 07.21	 07.41	 07.51	 08.11	 08.21	 08.41	 08.51	 09.11	 09.21	 09.41	 09.51	 10.11	 10.21	 10.41	 10.51	 11.11	 11.21	 11.29	 11.44	 11.59	 12.14	 12.29	 12.44	 12.59	 13.14	 13.29	 13.44	 13.59	 14.14	 14.29	 14.44	 14.59	 15.14	 15.29	 15.44	 15.59	 16.14	 16.29	 16.44	 16.59	 17.14	 17.29	 17.44	 17.59	 18.14	 18.29	 18.44	 18.59	 19.14	 19.29	 19.44	 20.11	 20.21	 20.41	 20.51	 21.11	 21.21	 21.41	 21.51	 22.11	 22.21	 22.41	 22.51	 23.11	 23.21	 23.41	 23.41	 23.51	 24.11	 24.11	 24.21	 24.41
28	1001	Steinerne Br¸cke	2	 05.22	    -	 05.52	 06.12	 06.22	 06.42	 06.52	 07.12	 07.22	 07.42	 07.52	 08.12	 08.22	 08.42	 08.52	 09.12	 09.22	 09.42	 09.52	 10.12	 10.22	 10.42	 10.52	 11.12	 11.22	 11.30	 11.45	 12.00	 12.15	 12.30	 12.45	 13.00	 13.15	 13.30	 13.45	 14.00	 14.15	 14.30	 14.45	 15.00	 15.15	 15.30	 15.45	 16.00	 16.15	 16.30	 16.45	 17.00	 17.15	 17.30	 17.45	 18.00	 18.15	 18.30	 18.45	 19.00	 19.15	 19.30	 19.45	 20.12	 20.22	 20.42	 20.52	 21.12	 21.22	 21.42	 21.52	 22.12	 22.22	 22.42	 22.52	 23.12	 23.22	 23.42	 23.42	 23.52	 24.12	 24.12	 24.22	 24.42
29	1008	Hauptbahnhof	1	 05.25	 05.35	 05.55	 06.15	 06.25	 06.45	 06.55	 07.15	 07.25	 07.45	 07.55	 08.15	 08.25	 08.45	 08.55	 09.15	 09.25	 09.45	 09.55	 10.15	 10.25	 10.45	 10.55	 11.15	 11.25	 11.33	 11.48	 12.03	 12.18	 12.33	 12.48	 13.03	 13.18	 13.33	 13.48	 14.03	 14.18	 14.33	 14.48	 15.03	 15.18	 15.33	 15.48	 16.03	 16.18	 16.33	 16.48	 17.03	 17.18	 17.33	 17.48	 18.03	 18.18	 18.33	 18.48	 19.03	 19.18	 19.33	 19.48	 20.15	 20.25	 20.45	 20.55	 21.15	 21.25	 21.45	 21.55	 22.15	 22.25	 22.45	 22.55	 23.15	 23.25	 23.45	 23.45	 23.55	 24.15	 24.15	 24.25	 24.45
30	1010	Theater	3	    -	 05.37	 05.57	 06.17	    -	 06.47	    -	 07.17	    -	 07.47	    -	 08.17	    -	 08.47	    -	 09.17	    -	 09.47	    -	 10.17	    -	 10.47	    -	 11.17	    -	 11.35	 11.50	 12.05	 12.20	 12.35	 12.50	 13.05	 13.20	 13.35	 13.50	 14.05	 14.20	 14.35	 14.50	 15.05	 15.20	 15.35	 15.50	 16.05	 16.20	 16.35	 16.50	 17.05	 17.20	 17.35	 17.50	 18.05	 18.20	 18.35	 18.50	 19.05	 19.20	 19.35	 19.50	 20.17	    -	 20.47	    -	 21.17	    -	 21.47	    -	 22.17	    -	 22.47	    -	 23.17	    -	 23.47	 23.47	    -	 24.17	 24.17	    -	 24.47
31	1039	Kienlesberg	1	    -	 05.39	 05.59	 06.19	    -	 06.49	    -	 07.19	    -	 07.49	    -	 08.19	    -	 08.49	    -	 09.19	    -	 09.49	    -	 10.19	    -	 10.49	    -	 11.19	    -	 11.37	 11.52	 12.07	 12.22	 12.37	 12.52	 13.07	 13.22	 13.37	 13.52	 14.07	 14.22	 14.37	 14.52	 15.07	 15.22	 15.37	 15.52	 16.07	 16.22	 16.37	 16.52	 17.07	 17.22	 17.37	 17.52	 18.07	 18.22	 18.37	 18.52	 19.07	 19.22	 19.37	 19.52	 20.19	    -	 20.49	    -	 21.19	    -	 21.49	    -	 22.19	    -	 22.49	    -	 23.19	    -	 23.49	 23.49	    -	 24.19	 24.19	    -	 24.49
32	1232	Lehrer Tal	1	    -	 05.40	 06.00	 06.20	    -	 06.50	    -	 07.20	    -	 07.50	    -	 08.20	    -	 08.50	    -	 09.20	    -	 09.50	    -	 10.20	    -	 10.50	    -	 11.20	    -	 11.38	 11.53	 12.08	 12.23	 12.38	 12.53	 13.08	 13.23	 13.38	 13.53	 14.08	 14.23	 14.38	 14.53	 15.08	 15.23	 15.38	 15.53	 16.08	 16.23	 16.38	 16.53	 17.08	 17.23	 17.38	 17.53	 18.08	 18.23	 18.38	 18.53	 19.08	 19.23	 19.38	 19.53	 20.20	    -	 20.50	    -	 21.20	    -	 21.50	    -	 22.20	    -	 22.50	    -	 23.20	    -	 23.50	 23.50	    -	 24.20	 24.20	    -	 24.50
33	1202	Multscherschule	1	    -	 05.41	 06.01	 06.21	    -	 06.51	    -	 07.21	    -	 07.51	    -	 08.21	    -	 08.51	    -	 09.21	    -	 09.51	    -	 10.21	    -	 10.51	    -	 11.21	    -	 11.39	 11.54	 12.09	 12.24	 12.39	 12.54	 13.09	 13.24	 13.39	 13.54	 14.09	 14.24	 14.39	 14.54	 15.09	 15.24	 15.39	 15.54	 16.09	 16.24	 16.39	 16.54	 17.09	 17.24	 17.39	 17.54	 18.09	 18.24	 18.39	 18.54	 19.09	 19.24	 19.39	 19.54	 20.21	    -	 20.51	    -	 21.21	    -	 21.51	    -	 22.21	    -	 22.51	    -	 23.21	    -	 23.51	 23.51	    -	 24.21	 24.21	    -	 24.51
34	1210	Burgunderweg	1	    -	 05.43	 06.03	 06.23	    -	 06.53	    -	 07.23	    -	 07.53	    -	 08.23	    -	 08.53	    -	 09.23	    -	 09.53	    -	 10.23	    -	 10.53	    -	 11.23	    -	 11.41	 11.56	 12.11	 12.26	 12.41	 12.56	 13.11	 13.26	 13.41	 13.56	 14.11	 14.26	 14.41	 14.56	 15.11	 15.26	 15.41	 15.56	 16.11	 16.26	 16.41	 16.56	 17.11	 17.26	 17.41	 17.56	 18.11	 18.26	 18.41	 18.56	 19.11	 19.26	 19.41	 19.56	 20.23	    -	 20.53	    -	 21.23	    -	 21.53	    -	 22.23	    -	 22.53	    -	 23.23	    -	 23.53	 23.53	    -	 24.23	 24.23	    -	 24.53
35	1281	Stachelbeerweg	1	    -	 05.44	 06.04	 06.24	    -	 06.54	    -	 07.24	    -	 07.54	    -	 08.24	    -	 08.54	    -	 09.24	    -	 09.54	    -	 10.24	    -	 10.54	    -	 11.24	    -	 11.42	 11.57	 12.12	 12.27	 12.42	 12.57	 13.12	 13.27	 13.42	 13.57	 14.12	 14.27	 14.42	 14.57	 15.12	 15.27	 15.42	 15.57	 16.12	 16.27	 16.42	 16.57	 17.12	 17.27	 17.42	 17.57	 18.12	 18.27	 18.42	 18.57	 19.12	 19.27	 19.42	 19.57	 20.24	    -	 20.54	    -	 21.24	    -	 21.54	    -	 22.24	    -	 22.54	    -	 23.24	    -	 23.54	 23.54	    -	 24.24	 24.24	    -	 24.54
36	1260	Rul‰nderweg	1	    -	 05.45	 06.05	 06.25	    -	 06.55	    -	 07.25	    -	 07.55	    -	 08.25	    -	 08.55	    -	 09.25	    -	 09.55	    -	 10.25	    -	 10.55	    -	 11.25	    -	 11.43	 11.58	 12.13	 12.28	 12.43	 12.58	 13.13	 13.28	 13.43	 13.58	 14.13	 14.28	 14.43	 14.58	 15.13	 15.28	 15.43	 15.58	 16.13	 16.28	 16.43	 16.58	 17.13	 17.28	 17.43	 17.58	 18.13	 18.28	 18.43	 18.58	 19.13	 19.28	 19.43	 19.58	 20.25	    -	 20.55	    -	 21.25	    -	 21.55	    -	 22.25	    -	 22.55	    -	 23.25	    -	 23.55	 23.55	    -	 24.25	 24.25	    -	 24.55
