			Fahrtenschlüssel	05:40	05:55	06:10	06:25	06:40	06:55	07:10	07:25	07:40	07:55	08:10	08:25	08:55	09:25	09:55	10:25	10:55	11:25	11:40	11:55	12:10	12:25	12:40	12:55	13:10	13:25	13:55	14:25	14:55	15:25	15:40	15:55	16:10	16:25	16:40	16:55	17:10	17:25	17:40	17:55	18:10	18:25	18:40	18:55	19:25	19:55
8	1300	Söflingen	3	 05.48	 06.03	 06.18	 06.33	 06.48	 07.03	 07.18	 07.33	 07.48	 08.03	    -	 08.33	 09.03	 09.33	 10.03	 10.33	 11.03	 11.33	 11.48	 12.03	 12.18	 12.33	 12.48	 13.03	 13.18	 13.33	 14.03	 14.33	 15.03	 15.33	 15.48	 16.03	 16.18	 16.33	 16.48	 17.03	 17.18	 17.33	 17.48	 18.03	 18.18	 18.33	 18.48	 19.03	 19.33	 20.03
9	1333	Torstraße	1	 05.49	 06.04	 06.19	 06.34	 06.49	 07.04	 07.19	 07.34	 07.49	 08.04	    -	 08.34	 09.04	 09.34	 10.04	 10.34	 11.04	 11.34	 11.49	 12.04	 12.19	 12.34	 12.49	 13.04	 13.19	 13.34	 14.04	 14.34	 15.04	 15.34	 15.49	 16.04	 16.19	 16.34	 16.49	 17.04	 17.19	 17.34	 17.49	 18.04	 18.19	 18.34	 18.49	 19.04	 19.34	 20.04
10	1345	Fünf-Bäume-Weg	1	 05.50	 06.05	 06.20	 06.35	 06.50	 07.05	 07.20	 07.35	 07.50	 08.05	    -	 08.35	 09.05	 09.35	 10.05	 10.35	 11.05	 11.35	 11.50	 12.05	 12.20	 12.35	 12.50	 13.05	 13.20	 13.35	 14.05	 14.35	 15.05	 15.35	 15.50	 16.05	 16.20	 16.35	 16.50	 17.05	 17.20	 17.35	 17.50	 18.05	 18.20	 18.35	 18.50	 19.05	 19.35	 20.05
11	1324	Fünf-Bäume-Weg Mitte	1	 05.51	 06.06	 06.21	 06.36	 06.51	 07.06	 07.21	 07.36	 07.51	 08.06	    -	 08.36	 09.06	 09.36	 10.06	 10.36	 11.06	 11.36	 11.51	 12.06	 12.21	 12.36	 12.51	 13.06	 13.21	 13.36	 14.06	 14.36	 15.06	 15.36	 15.51	 16.06	 16.21	 16.36	 16.51	 17.06	 17.21	 17.36	 17.51	 18.06	 18.21	 18.36	 18.51	 19.06	 19.36	 20.06
12	1325	Maienweg Nord	1	 05.52	 06.07	 06.22	 06.37	 06.52	 07.07	 07.22	 07.37	 07.52	 08.07	    -	 08.37	 09.07	 09.37	 10.07	 10.37	 11.07	 11.37	 11.52	 12.07	 12.22	 12.37	 12.52	 13.07	 13.22	 13.37	 14.07	 14.37	 15.07	 15.37	 15.52	 16.07	 16.22	 16.37	 16.52	 17.07	 17.22	 17.37	 17.52	 18.07	 18.22	 18.37	 18.52	 19.07	 19.37	 20.07
13	1320	Krankenhaus Söflingen	3	 05.53	 06.08	 06.23	 06.38	 06.53	 07.08	 07.23	 07.38	 07.53	 08.08	    -	 08.38	 09.08	 09.38	 10.08	 10.38	 11.08	 11.38	 11.53	 12.08	 12.23	 12.38	 12.53	 13.08	 13.23	 13.38	 14.08	 14.38	 15.08	 15.38	 15.53	 16.08	 16.23	 16.38	 16.53	 17.08	 17.23	 17.38	 17.53	 18.08	 18.23	 18.38	 18.53	 19.08	 19.38	 20.08
14	1321	Schongauer Weg	1	 05.53	 06.08	 06.23	 06.38	 06.53	 07.08	 07.23	 07.38	 07.53	 08.08	    -	 08.38	 09.08	 09.38	 10.08	 10.38	 11.08	 11.38	 11.53	 12.08	 12.23	 12.38	 12.53	 13.08	 13.23	 13.38	 14.08	 14.38	 15.08	 15.38	 15.53	 16.08	 16.23	 16.38	 16.53	 17.08	 17.23	 17.38	 17.53	 18.08	 18.23	 18.38	 18.53	 19.08	 19.38	 20.08
15	1322	Leonberger Weg	1	 05.54	 06.09	 06.24	 06.39	 06.54	 07.09	 07.24	 07.39	 07.54	 08.09	    -	 08.39	 09.09	 09.39	 10.09	 10.39	 11.09	 11.39	 11.54	 12.09	 12.24	 12.39	 12.54	 13.09	 13.24	 13.39	 14.09	 14.39	 15.09	 15.39	 15.54	 16.09	 16.24	 16.39	 16.54	 17.09	 17.24	 17.39	 17.54	 18.09	 18.24	 18.39	 18.54	 19.09	 19.39	 20.09
16	1332	Maienweg	1	 05.55	 06.10	 06.25	 06.40	 06.55	 07.10	 07.25	 07.40	 07.55	 08.10	    -	 08.40	 09.10	 09.40	 10.10	 10.40	 11.10	 11.40	 11.55	 12.10	 12.25	 12.40	 12.55	 13.10	 13.25	 13.40	 14.10	 14.40	 15.10	 15.40	 15.55	 16.10	 16.25	 16.40	 16.55	 17.10	 17.25	 17.40	 17.55	 18.10	 18.25	 18.40	 18.55	 19.10	 19.40	 20.10
17	1323	Gleißelstetten	1	 05.56	 06.11	 06.26	 06.41	 06.56	 07.11	 07.26	 07.41	 07.56	 08.11	    -	 08.41	 09.11	 09.41	 10.11	 10.41	 11.11	 11.41	 11.56	 12.11	 12.26	 12.41	 12.56	 13.11	 13.26	 13.41	 14.11	 14.41	 15.11	 15.41	 15.56	 16.11	 16.26	 16.41	 16.56	 17.11	 17.26	 17.41	 17.56	 18.11	 18.26	 18.41	 18.56	 19.11	 19.41	 20.11
